SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024022905000003,42,22,10.00,615.00,"6,150.00",2024-02-29
2,HRL,2024022905000010,36,45,10.00,610.60,"6,106.00",2024-02-29
3,HRL,2024022905000012,36,28,10.00,610.60,"6,106.00",2024-02-29
4,HRL,2024022905000022,33,52,10.00,611.10,"6,111.00",2024-02-29
5,HRL,2024022905000033,45,34,10.00,612.00,"6,120.00",2024-02-29
6,HRL,2024022905000038,45,38,10.00,612.00,"6,120.00",2024-02-29
7,HRL,2024022905000039,45,58,10.00,612.00,"6,120.00",2024-02-29
8,HRL,2024022905000042,42,39,10.00,612.10,"6,121.00",2024-02-29
9,HRL,2024022905000043,42,47,10.00,612.10,"6,121.00",2024-02-29
10,HRL,2024022905000045,42,6,10.00,612.10,"6,121.00",2024-02-29
11,HRL,2024022905000062,42,21,10.00,612.60,"6,126.00",2024-02-29
12,HRL,2024022905000063,42,38,10.00,612.60,"6,126.00",2024-02-29
13,HRL,2024022905000065,42,49,10.00,612.60,"6,126.00",2024-02-29
14,HRL,2024022905000077,36,21,20.00,612.70,"12,254.00",2024-02-29
15,HRL,2024022905000081,77,54,10.00,612.80,"6,128.00",2024-02-29
16,HRL,2024022905000089,77,39,10.00,613.10,"6,131.00",2024-02-29
17,HRL,2024022905000090,77,38,100.00,613.10,"61,310.00",2024-02-29
18,HRL,2024022905000092,77,59,10.00,613.10,"6,131.00",2024-02-29
19,HRL,2024022905000095,42,42,10.00,613.20,"6,132.00",2024-02-29
20,HRL,2024022905000096,77,21,10.00,613.30,"6,133.00",2024-02-29
21,HRL,2024022905000098,42,6,10.00,614.00,"6,140.00",2024-02-29
22,HRL,2024022905000107,42,35,10.00,615.00,"6,150.00",2024-02-29
23,HRL,2024022905000108,42,58,10.00,615.00,"6,150.00",2024-02-29
24,HRL,2024022905000109,42,58,10.00,615.00,"6,150.00",2024-02-29
