SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024030705000002,35,22,10.00,630.00,"6,300.00",2024-03-07
2,HRL,2024030705000003,35,11,10.00,630.00,"6,300.00",2024-03-07
3,HRL,2024030705000006,42,58,20.00,629.00,"12,580.00",2024-03-07
4,HRL,2024030705000007,42,13,10.00,629.00,"6,290.00",2024-03-07
5,HRL,2024030705000009,42,4,20.00,629.00,"12,580.00",2024-03-07
6,HRL,2024030705000010,42,59,10.00,629.00,"6,290.00",2024-03-07
7,HRL,2024030705000011,42,1,30.00,629.00,"18,870.00",2024-03-07
8,HRL,2024030705000012,42,29,210.00,629.00,"132,090.00",2024-03-07
9,HRL,2024030705000013,47,29,30.00,629.00,"18,870.00",2024-03-07
10,HRL,2024030705000014,38,29,210.00,629.00,"132,090.00",2024-03-07
11,HRL,2024030705000015,38,72,40.00,629.00,"25,160.00",2024-03-07
12,HRL,2024030705000016,67,72,10.00,629.00,"6,290.00",2024-03-07
13,HRL,2024030705000018,47,72,50.00,629.00,"31,450.00",2024-03-07
14,HRL,2024030705000020,58,6,10.00,628.90,"6,289.00",2024-03-07
15,HRL,2024030705000027,18,6,40.00,628.90,"25,156.00",2024-03-07
16,HRL,2024030705000030,56,14,20.00,629.00,"12,580.00",2024-03-07
17,HRL,2024030705000032,56,42,15.00,629.00,"9,435.00",2024-03-07
18,HRL,2024030705000034,56,4,10.00,629.00,"6,290.00",2024-03-07
19,HRL,2024030705000035,47,34,10.00,629.40,"6,294.00",2024-03-07
20,HRL,2024030705000036,47,38,80.00,629.90,"50,392.00",2024-03-07
21,HRL,2024030705000041,18,58,10.00,630.00,"6,300.00",2024-03-07
22,HRL,2024030705000042,18,19,50.00,630.00,"31,500.00",2024-03-07
23,HRL,2024030705000043,47,45,10.00,629.90,"6,299.00",2024-03-07
24,HRL,2024030705000044,56,45,455.00,629.00,"286,195.00",2024-03-07
25,HRL,2024030705000047,57,45,100.00,629.00,"62,900.00",2024-03-07
26,HRL,2024030705000048,67,32,10.00,628.00,"6,280.00",2024-03-07
27,HRL,2024030705000057,57,28,10.00,628.00,"6,280.00",2024-03-07
28,HRL,2024030705000060,57,53,29.00,628.00,"18,212.00",2024-03-07
29,HRL,2024030705000062,74,22,200.00,628.90,"125,780.00",2024-03-07
30,HRL,2024030705000063,74,45,235.00,629.00,"147,815.00",2024-03-07
31,HRL,2024030705000064,57,57,100.00,628.00,"62,800.00",2024-03-07
32,HRL,2024030705000065,49,45,50.00,629.00,"31,450.00",2024-03-07
33,HRL,2024030705000067,35,45,25.00,629.00,"15,725.00",2024-03-07
34,HRL,2024030705000068,57,57,20.00,628.00,"12,560.00",2024-03-07
35,HRL,2024030705000069,7,45,11.00,629.00,"6,919.00",2024-03-07
36,HRL,2024030705000071,49,45,114.00,629.00,"71,706.00",2024-03-07
37,HRL,2024030705000072,49,19,10.00,629.00,"6,290.00",2024-03-07
38,HRL,2024030705000073,49,58,10.00,629.00,"6,290.00",2024-03-07
39,HRL,2024030705000075,49,54,20.00,629.00,"12,580.00",2024-03-07
40,HRL,2024030705000076,49,41,20.00,629.00,"12,580.00",2024-03-07
41,HRL,2024030705000077,41,34,300.00,630.00,"189,000.00",2024-03-07
42,HRL,2024030705000078,41,45,100.00,630.00,"63,000.00",2024-03-07
43,HRL,2024030705000079,41,57,100.00,630.00,"63,000.00",2024-03-07
44,HRL,2024030705000080,38,57,20.00,630.00,"12,600.00",2024-03-07
45,HRL,2024030705000081,38,34,10.00,630.00,"6,300.00",2024-03-07
46,HRL,2024030705000082,38,36,470.00,630.00,"296,100.00",2024-03-07
47,HRL,2024030705000083,49,36,30.00,630.00,"18,900.00",2024-03-07
48,HRL,2024030705000084,49,52,10.00,630.00,"6,300.00",2024-03-07
49,HRL,2024030705000089,74,45,500.00,630.10,"315,050.00",2024-03-07
50,HRL,2024030705000090,52,55,200.00,630.10,"126,020.00",2024-03-07
51,HRL,2024030705000091,52,14,10.00,630.10,"6,301.00",2024-03-07
52,HRL,2024030705000093,52,38,20.00,630.10,"12,602.00",2024-03-07
53,HRL,2024030705000095,13,53,20.00,631.00,"12,620.00",2024-03-07
54,HRL,2024030705000096,13,58,10.00,631.00,"6,310.00",2024-03-07
55,HRL,2024030705000097,13,58,10.00,632.90,"6,329.00",2024-03-07
56,HRL,2024030705000098,13,51,50.00,633.00,"31,650.00",2024-03-07
57,HRL,2024030705000099,13,18,100.00,633.00,"63,300.00",2024-03-07
