SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040205000001,68,58,10.00,608.70,"6,087.00",2024-04-02
2,HRL,2024040205000002,68,32,10.00,608.70,"6,087.00",2024-04-02
3,HRL,2024040205000003,68,57,20.00,608.70,"12,174.00",2024-04-02
4,HRL,2024040205000004,68,32,30.00,608.70,"18,261.00",2024-04-02
5,HRL,2024040205000005,68,4,10.00,608.70,"6,087.00",2024-04-02
6,HRL,2024040205000006,68,70,20.00,608.70,"12,174.00",2024-04-02
7,HRL,2024040205000007,68,44,10.00,608.70,"6,087.00",2024-04-02
8,HRL,2024040205000008,68,42,200.00,608.70,"121,740.00",2024-04-02
9,HRL,2024040205000009,68,70,10.00,608.70,"6,087.00",2024-04-02
10,HRL,2024040205000010,38,70,10.00,608.70,"6,087.00",2024-04-02
11,HRL,2024040205000015,36,58,10.00,600.90,"6,009.00",2024-04-02
12,HRL,2024040205000018,17,57,20.00,597.00,"11,940.00",2024-04-02
13,HRL,2024040205000019,17,32,10.00,597.00,"5,970.00",2024-04-02
14,HRL,2024040205000020,17,49,10.00,597.00,"5,970.00",2024-04-02
15,HRL,2024040205000021,17,4,10.00,597.00,"5,970.00",2024-04-02
16,HRL,2024040205000022,17,6,10.00,597.00,"5,970.00",2024-04-02
17,HRL,2024040205000024,55,58,10.00,598.00,"5,980.00",2024-04-02
18,HRL,2024040205000025,55,4,10.00,598.00,"5,980.00",2024-04-02
19,HRL,2024040205000026,22,49,10.00,597.10,"5,971.00",2024-04-02
20,HRL,2024040205000027,17,56,20.00,597.00,"11,940.00",2024-04-02
21,HRL,2024040205000030,17,29,10.00,597.00,"5,970.00",2024-04-02
22,HRL,2024040205000032,17,52,30.00,597.00,"17,910.00",2024-04-02
23,HRL,2024040205000034,17,57,10.00,597.00,"5,970.00",2024-04-02
24,HRL,2024040205000035,17,49,10.00,597.00,"5,970.00",2024-04-02
25,HRL,2024040205000036,38,44,10.00,599.00,"5,990.00",2024-04-02
26,HRL,2024040205000038,17,29,10.00,597.00,"5,970.00",2024-04-02
27,HRL,2024040205000040,17,46,10.00,597.00,"5,970.00",2024-04-02
28,HRL,2024040205000041,17,49,20.00,597.00,"11,940.00",2024-04-02
29,HRL,2024040205000042,91,64,20.00,597.10,"11,942.00",2024-04-02
30,HRL,2024040205000043,91,38,10.00,597.10,"5,971.00",2024-04-02
31,HRL,2024040205000044,91,58,10.00,597.10,"5,971.00",2024-04-02
32,HRL,2024040205000046,43,58,10.00,597.20,"5,972.00",2024-04-02
33,HRL,2024040205000047,43,4,10.00,597.20,"5,972.00",2024-04-02
34,HRL,2024040205000049,55,56,12.00,597.50,"7,170.00",2024-04-02
35,HRL,2024040205000050,53,26,10.00,597.50,"5,975.00",2024-04-02
36,HRL,2024040205000052,54,34,20.00,597.50,"11,950.00",2024-04-02
37,HRL,2024040205000054,91,38,20.00,597.60,"11,952.00",2024-04-02
38,HRL,2024040205000056,91,58,10.00,597.60,"5,976.00",2024-04-02
39,HRL,2024040205000058,91,4,10.00,597.60,"5,976.00",2024-04-02
40,HRL,2024040205000059,14,57,10.00,598.00,"5,980.00",2024-04-02
41,HRL,2024040205000062,7,43,50.00,599.00,"29,950.00",2024-04-02
42,HRL,2024040205000063,55,43,150.00,599.00,"89,850.00",2024-04-02
43,HRL,2024040205000065,55,4,10.00,599.50,"5,995.00",2024-04-02
44,HRL,2024040205000066,55,19,20.00,599.50,"11,990.00",2024-04-02
45,HRL,2024040205000067,55,54,10.00,600.00,"6,000.00",2024-04-02
46,HRL,2024040205000068,55,10,20.00,600.00,"12,000.00",2024-04-02
47,HRL,2024040205000069,55,17,10.00,600.00,"6,000.00",2024-04-02
48,HRL,2024040205000070,55,59,10.00,600.00,"6,000.00",2024-04-02
49,HRL,2024040205000071,55,4,10.00,600.00,"6,000.00",2024-04-02
50,HRL,2024040205000072,55,57,20.00,600.00,"12,000.00",2024-04-02
51,HRL,2024040205000073,55,54,10.00,600.00,"6,000.00",2024-04-02
52,HRL,2024040205000074,55,50,50.00,600.00,"30,000.00",2024-04-02
53,HRL,2024040205000075,55,4,30.00,600.00,"18,000.00",2024-04-02
54,HRL,2024040205000076,55,58,10.00,600.00,"6,000.00",2024-04-02
55,HRL,2024040205000078,55,60,10.00,600.00,"6,000.00",2024-04-02
56,HRL,2024040205000080,55,58,10.00,600.00,"6,000.00",2024-04-02
57,HRL,2024040205000081,55,28,20.00,600.00,"12,000.00",2024-04-02
58,HRL,2024040205000082,55,34,10.00,600.00,"6,000.00",2024-04-02
59,HRL,2024040205000083,32,45,100.00,600.80,"60,080.00",2024-04-02
60,HRL,2024040205000084,32,55,"1,900.00",600.90,"1,141,710.00",2024-04-02
61,HRL,2024040205000086,51,55,40.00,600.90,"24,036.00",2024-04-02
62,HRL,2024040205000087,55,34,20.00,600.00,"12,000.00",2024-04-02
63,HRL,2024040205000090,55,57,10.00,600.00,"6,000.00",2024-04-02
64,HRL,2024040205000091,55,7,20.00,600.00,"12,000.00",2024-04-02
65,HRL,2024040205000092,55,49,10.00,600.00,"6,000.00",2024-04-02
66,HRL,2024040205000094,13,16,30.00,600.10,"18,003.00",2024-04-02
67,HRL,2024040205000098,42,49,10.00,600.20,"6,002.00",2024-04-02
68,HRL,2024040205000100,13,58,20.00,600.10,"12,002.00",2024-04-02
69,HRL,2024040205000101,49,55,60.00,600.90,"36,054.00",2024-04-02
70,HRL,2024040205000102,49,10,10.00,601.00,"6,010.00",2024-04-02
71,HRL,2024040205000103,49,49,10.00,601.00,"6,010.00",2024-04-02
72,HRL,2024040205000104,49,52,10.00,601.00,"6,010.00",2024-04-02
73,HRL,2024040205000107,50,28,10.00,600.20,"6,002.00",2024-04-02
74,HRL,2024040205000108,14,43,20.00,602.00,"12,040.00",2024-04-02
75,HRL,2024040205000109,14,45,20.00,602.00,"12,040.00",2024-04-02
76,HRL,2024040205000110,14,65,40.00,602.00,"24,080.00",2024-04-02
77,HRL,2024040205000112,14,36,10.00,602.00,"6,020.00",2024-04-02
78,HRL,2024040205000113,42,52,40.00,602.90,"24,116.00",2024-04-02
79,HRL,2024040205000116,14,54,10.00,602.00,"6,020.00",2024-04-02
80,HRL,2024040205000117,50,54,10.00,600.20,"6,002.00",2024-04-02
81,HRL,2024040205000121,53,38,10.00,600.30,"6,003.00",2024-04-02
82,HRL,2024040205000122,53,44,90.00,600.30,"54,027.00",2024-04-02
83,HRL,2024040205000123,50,44,20.00,600.20,"12,004.00",2024-04-02
84,HRL,2024040205000124,38,44,20.00,600.20,"12,004.00",2024-04-02
85,HRL,2024040205000125,43,44,80.00,600.10,"48,008.00",2024-04-02
86,HRL,2024040205000126,41,44,50.00,600.10,"30,005.00",2024-04-02
87,HRL,2024040205000127,58,44,300.00,600.10,"180,030.00",2024-04-02
88,HRL,2024040205000128,55,44,"4,440.00",600.00,"2,664,000.00",2024-04-02
89,HRL,2024040205000131,55,21,10.00,600.00,"6,000.00",2024-04-02
90,HRL,2024040205000135,55,45,10.00,600.00,"6,000.00",2024-04-02
91,HRL,2024040205000136,55,58,30.00,600.00,"18,000.00",2024-04-02
92,HRL,2024040205000137,55,47,10.00,600.00,"6,000.00",2024-04-02
93,HRL,2024040205000139,14,57,10.00,602.00,"6,020.00",2024-04-02
94,HRL,2024040205000140,14,38,10.00,602.00,"6,020.00",2024-04-02
95,HRL,2024040205000141,14,50,80.00,602.00,"48,160.00",2024-04-02
96,HRL,2024040205000142,55,50,180.00,600.00,"108,000.00",2024-04-02
97,HRL,2024040205000143,42,50,10.00,600.00,"6,000.00",2024-04-02
98,HRL,2024040205000144,17,50,100.00,600.00,"60,000.00",2024-04-02
99,HRL,2024040205000149,16,35,10.00,599.10,"5,991.00",2024-04-02
100,HRL,2024040205000150,16,6,20.00,599.10,"11,982.00",2024-04-02
101,HRL,2024040205000155,57,38,10.00,599.20,"5,992.00",2024-04-02
102,HRL,2024040205000157,57,13,10.00,599.20,"5,992.00",2024-04-02
103,HRL,2024040205000169,55,57,10.00,599.00,"5,990.00",2024-04-02
104,HRL,2024040205000171,55,70,280.00,599.00,"167,720.00",2024-04-02
105,HRL,2024040205000172,55,59,30.00,599.00,"17,970.00",2024-04-02
106,HRL,2024040205000179,1,49,10.00,599.90,"5,999.00",2024-04-02
107,HRL,2024040205000183,55,50,400.00,599.00,"239,600.00",2024-04-02
108,HRL,2024040205000184,55,58,10.00,599.00,"5,990.00",2024-04-02
109,HRL,2024040205000186,40,49,10.00,599.10,"5,991.00",2024-04-02
110,HRL,2024040205000187,40,47,10.00,599.10,"5,991.00",2024-04-02
111,HRL,2024040205000188,55,47,10.00,599.00,"5,990.00",2024-04-02
112,HRL,2024040205000189,55,52,10.00,599.00,"5,990.00",2024-04-02
113,HRL,2024040205000190,55,58,10.00,599.00,"5,990.00",2024-04-02
114,HRL,2024040205000196,94,48,10.00,599.20,"5,992.00",2024-04-02
115,HRL,2024040205000197,94,58,10.00,599.20,"5,992.00",2024-04-02
116,HRL,2024040205000201,1,32,10.00,600.00,"6,000.00",2024-04-02
117,HRL,2024040205000202,1,22,10.00,600.00,"6,000.00",2024-04-02
