SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024041005000002,49,42,10.00,623.00,"6,230.00",2024-04-10
2,HRL,2024041005000003,49,42,10.00,623.00,"6,230.00",2024-04-10
3,HRL,2024041005000004,49,42,10.00,623.00,"6,230.00",2024-04-10
4,HRL,2024041005000005,49,42,10.00,623.00,"6,230.00",2024-04-10
5,HRL,2024041005000006,49,71,20.00,623.00,"12,460.00",2024-04-10
6,HRL,2024041005000012,52,42,10.00,623.00,"6,230.00",2024-04-10
7,HRL,2024041005000013,52,42,10.00,623.00,"6,230.00",2024-04-10
8,HRL,2024041005000015,45,28,10.00,618.00,"6,180.00",2024-04-10
9,HRL,2024041005000018,16,37,10.00,620.00,"6,200.00",2024-04-10
10,HRL,2024041005000019,16,52,10.00,623.00,"6,230.00",2024-04-10
11,HRL,2024041005000020,16,45,20.00,623.00,"12,460.00",2024-04-10
12,HRL,2024041005000021,16,42,10.00,623.00,"6,230.00",2024-04-10
13,HRL,2024041005000022,16,35,10.00,623.00,"6,230.00",2024-04-10
14,HRL,2024041005000023,16,57,10.00,623.00,"6,230.00",2024-04-10
15,HRL,2024041005000024,16,58,10.00,623.00,"6,230.00",2024-04-10
16,HRL,2024041005000025,16,42,20.00,623.00,"12,460.00",2024-04-10
17,HRL,2024041005000026,49,38,10.00,625.00,"6,250.00",2024-04-10
18,HRL,2024041005000027,49,58,10.00,625.00,"6,250.00",2024-04-10
19,HRL,2024041005000028,49,34,10.00,625.00,"6,250.00",2024-04-10
20,HRL,2024041005000029,33,34,10.00,625.00,"6,250.00",2024-04-10
21,HRL,2024041005000031,33,43,10.00,625.00,"6,250.00",2024-04-10
22,HRL,2024041005000033,33,34,30.00,625.00,"18,750.00",2024-04-10
23,HRL,2024041005000034,33,42,10.00,625.00,"6,250.00",2024-04-10
24,HRL,2024041005000035,33,6,410.00,625.00,"256,250.00",2024-04-10
25,HRL,2024041005000036,16,6,10.00,623.00,"6,230.00",2024-04-10
26,HRL,2024041005000037,6,6,20.00,621.00,"12,420.00",2024-04-10
27,HRL,2024041005000038,17,6,159.00,620.00,"98,580.00",2024-04-10
28,HRL,2024041005000039,17,57,10.00,620.00,"6,200.00",2024-04-10
29,HRL,2024041005000041,52,58,30.00,620.10,"18,603.00",2024-04-10
30,HRL,2024041005000042,19,52,20.00,620.20,"12,404.00",2024-04-10
31,HRL,2024041005000043,14,47,10.00,621.00,"6,210.00",2024-04-10
32,HRL,2024041005000045,1,45,10.00,621.10,"6,211.00",2024-04-10
33,HRL,2024041005000048,59,47,10.00,622.00,"6,220.00",2024-04-10
34,HRL,2024041005000050,59,45,20.00,622.00,"12,440.00",2024-04-10
35,HRL,2024041005000051,42,47,10.00,622.00,"6,220.00",2024-04-10
36,HRL,2024041005000052,42,58,10.00,622.00,"6,220.00",2024-04-10
37,HRL,2024041005000055,1,34,10.00,622.10,"6,221.00",2024-04-10
38,HRL,2024041005000056,42,58,10.00,623.00,"6,230.00",2024-04-10
39,HRL,2024041005000057,42,35,10.00,623.00,"6,230.00",2024-04-10
40,HRL,2024041005000058,42,3,10.00,623.00,"6,230.00",2024-04-10
41,HRL,2024041005000060,14,10,20.00,623.10,"12,462.00",2024-04-10
42,HRL,2024041005000062,14,57,20.00,623.10,"12,462.00",2024-04-10
43,HRL,2024041005000063,22,42,30.00,625.00,"18,750.00",2024-04-10
44,HRL,2024041005000064,22,34,30.00,625.00,"18,750.00",2024-04-10
45,HRL,2024041005000065,22,34,10.00,625.00,"6,250.00",2024-04-10
46,HRL,2024041005000066,22,14,10.00,625.00,"6,250.00",2024-04-10
47,HRL,2024041005000067,22,42,10.00,625.00,"6,250.00",2024-04-10
48,HRL,2024041005000068,22,35,110.00,625.00,"68,750.00",2024-04-10
49,HRL,2024041005000071,22,19,10.00,625.00,"6,250.00",2024-04-10
50,HRL,2024041005000072,22,55,10.00,625.00,"6,250.00",2024-04-10
51,HRL,2024041005000081,35,19,10.00,627.00,"6,270.00",2024-04-10
52,HRL,2024041005000082,35,48,10.00,628.00,"6,280.00",2024-04-10
53,HRL,2024041005000087,35,72,10.00,628.00,"6,280.00",2024-04-10
54,HRL,2024041005000088,35,49,10.00,628.00,"6,280.00",2024-04-10
55,HRL,2024041005000089,35,14,30.00,628.00,"18,840.00",2024-04-10
56,HRL,2024041005000090,46,58,20.00,625.10,"12,502.00",2024-04-10
57,HRL,2024041005000093,46,59,10.00,625.10,"6,251.00",2024-04-10
58,HRL,2024041005000094,46,8,10.00,625.10,"6,251.00",2024-04-10
59,HRL,2024041005000096,14,58,10.00,625.20,"6,252.00",2024-04-10
60,HRL,2024041005000097,46,58,30.00,625.10,"18,753.00",2024-04-10
61,HRL,2024041005000098,46,38,10.00,625.10,"6,251.00",2024-04-10
62,HRL,2024041005000099,46,49,20.00,625.10,"12,502.00",2024-04-10
63,HRL,2024041005000101,35,45,20.00,627.00,"12,540.00",2024-04-10
64,HRL,2024041005000102,35,42,10.00,627.00,"6,270.00",2024-04-10
65,HRL,2024041005000103,19,87,30.00,625.20,"18,756.00",2024-04-10
66,HRL,2024041005000105,1,34,10.00,626.00,"6,260.00",2024-04-10
67,HRL,2024041005000109,43,58,30.00,625.30,"18,759.00",2024-04-10
68,HRL,2024041005000111,43,14,10.00,625.30,"6,253.00",2024-04-10
69,HRL,2024041005000112,26,4,10.00,626.00,"6,260.00",2024-04-10
70,HRL,2024041005000113,49,49,100.00,627.50,"62,750.00",2024-04-10
71,HRL,2024041005000114,49,25,100.00,627.80,"62,780.00",2024-04-10
72,HRL,2024041005000115,49,47,70.00,627.90,"43,953.00",2024-04-10
73,HRL,2024041005000116,49,22,100.00,627.90,"62,790.00",2024-04-10
74,HRL,2024041005000117,49,55,130.00,628.00,"81,640.00",2024-04-10
75,HRL,2024041005000118,25,57,10.00,626.00,"6,260.00",2024-04-10
76,HRL,2024041005000119,25,34,30.00,626.00,"18,780.00",2024-04-10
77,HRL,2024041005000122,25,26,10.00,627.50,"6,275.00",2024-04-10
78,HRL,2024041005000130,66,45,10.00,626.00,"6,260.00",2024-04-10
79,HRL,2024041005000132,43,38,10.00,626.10,"6,261.00",2024-04-10
80,HRL,2024041005000133,43,42,10.00,626.10,"6,261.00",2024-04-10
81,HRL,2024041005000134,25,45,10.00,627.50,"6,275.00",2024-04-10
82,HRL,2024041005000135,25,55,100.00,627.50,"62,750.00",2024-04-10
83,HRL,2024041005000136,25,48,90.00,627.90,"56,511.00",2024-04-10
84,HRL,2024041005000137,25,55,870.00,628.00,"546,360.00",2024-04-10
85,HRL,2024041005000138,25,58,10.00,628.00,"6,280.00",2024-04-10
86,HRL,2024041005000139,25,45,10.00,628.00,"6,280.00",2024-04-10
87,HRL,2024041005000140,25,45,460.00,628.00,"288,880.00",2024-04-10
88,HRL,2024041005000141,19,14,10.00,626.20,"6,262.00",2024-04-10
89,HRL,2024041005000144,19,17,10.00,627.00,"6,270.00",2024-04-10
90,HRL,2024041005000147,66,45,210.00,628.00,"131,880.00",2024-04-10
91,HRL,2024041005000148,19,49,10.00,627.00,"6,270.00",2024-04-10
92,HRL,2024041005000149,19,45,140.00,628.00,"87,920.00",2024-04-10
93,HRL,2024041005000150,59,45,170.00,628.00,"106,760.00",2024-04-10
94,HRL,2024041005000151,66,45,20.00,628.00,"12,560.00",2024-04-10
95,HRL,2024041005000152,66,16,10.00,628.00,"6,280.00",2024-04-10
96,HRL,2024041005000153,34,49,10.00,627.50,"6,275.00",2024-04-10
97,HRL,2024041005000161,43,49,20.00,627.10,"12,542.00",2024-04-10
98,HRL,2024041005000163,43,45,10.00,627.10,"6,271.00",2024-04-10
99,HRL,2024041005000164,43,49,30.00,627.10,"18,813.00",2024-04-10
100,HRL,2024041005000165,39,42,10.00,628.00,"6,280.00",2024-04-10
101,HRL,2024041005000166,39,49,10.00,628.00,"6,280.00",2024-04-10
102,HRL,2024041005000167,39,44,10.00,628.00,"6,280.00",2024-04-10
103,HRL,2024041005000168,43,52,10.00,627.10,"6,271.00",2024-04-10
104,HRL,2024041005000169,43,42,170.00,627.10,"106,607.00",2024-04-10
105,HRL,2024041005000170,34,42,30.00,627.10,"18,813.00",2024-04-10
106,HRL,2024041005000171,34,35,10.00,627.50,"6,275.00",2024-04-10
107,HRL,2024041005000172,49,55,100.00,628.00,"62,800.00",2024-04-10
108,HRL,2024041005000174,49,37,50.00,627.90,"31,395.00",2024-04-10
109,HRL,2024041005000175,49,55,100.00,628.00,"62,800.00",2024-04-10
110,HRL,2024041005000176,49,58,10.00,628.00,"6,280.00",2024-04-10
111,HRL,2024041005000177,49,55,10.00,628.00,"6,280.00",2024-04-10
112,HRL,2024041005000178,49,7,10.00,628.00,"6,280.00",2024-04-10
113,HRL,2024041005000179,49,45,20.00,628.00,"12,560.00",2024-04-10
114,HRL,2024041005000180,39,45,10.00,628.00,"6,280.00",2024-04-10
115,HRL,2024041005000181,39,58,15.00,628.50,"9,427.50",2024-04-10
116,HRL,2024041005000182,19,58,20.00,627.90,"12,558.00",2024-04-10
117,HRL,2024041005000186,19,29,30.00,627.90,"18,837.00",2024-04-10
118,HRL,2024041005000187,34,29,10.00,627.50,"6,275.00",2024-04-10
119,HRL,2024041005000189,39,41,20.00,628.00,"12,560.00",2024-04-10
120,HRL,2024041005000190,39,48,10.00,628.00,"6,280.00",2024-04-10
121,HRL,2024041005000191,34,41,20.00,627.50,"12,550.00",2024-04-10
122,HRL,2024041005000192,42,45,20.00,628.00,"12,560.00",2024-04-10
123,HRL,2024041005000193,42,58,65.00,628.50,"40,852.50",2024-04-10
124,HRL,2024041005000194,42,22,100.00,628.90,"62,890.00",2024-04-10
125,HRL,2024041005000195,42,25,10.00,629.00,"6,290.00",2024-04-10
126,HRL,2024041005000196,42,57,55.00,629.00,"34,595.00",2024-04-10
127,HRL,2024041005000201,34,43,10.00,627.50,"6,275.00",2024-04-10
128,HRL,2024041005000204,39,19,10.00,628.00,"6,280.00",2024-04-10
129,HRL,2024041005000205,39,57,45.00,629.00,"28,305.00",2024-04-10
130,HRL,2024041005000206,39,35,20.00,629.00,"12,580.00",2024-04-10
131,HRL,2024041005000209,19,55,380.00,629.00,"239,020.00",2024-04-10
132,HRL,2024041005000211,39,19,10.00,628.00,"6,280.00",2024-04-10
133,HRL,2024041005000213,17,1,100.00,628.90,"62,890.00",2024-04-10
134,HRL,2024041005000214,17,55,120.00,629.00,"75,480.00",2024-04-10
135,HRL,2024041005000215,17,14,10.00,629.00,"6,290.00",2024-04-10
136,HRL,2024041005000216,17,19,50.00,629.00,"31,450.00",2024-04-10
137,HRL,2024041005000217,17,22,20.00,629.00,"12,580.00",2024-04-10
138,HRL,2024041005000218,17,28,200.00,629.00,"125,800.00",2024-04-10
