SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024032805000002,49,7,10.00,602.00,"6,020.00",2024-03-28
2,HRL,2024032805000003,43,47,1.00,590.00,590.00,2024-03-28
3,HRL,2024032805000004,22,58,60.00,602.00,"36,120.00",2024-03-28
4,HRL,2024032805000005,22,49,10.00,602.00,"6,020.00",2024-03-28
5,HRL,2024032805000006,22,36,10.00,602.00,"6,020.00",2024-03-28
6,HRL,2024032805000008,26,55,10.00,602.00,"6,020.00",2024-03-28
7,HRL,2024032805000009,26,28,20.00,602.00,"12,040.00",2024-03-28
8,HRL,2024032805000011,35,35,10.00,602.00,"6,020.00",2024-03-28
9,HRL,2024032805000013,35,42,10.00,602.00,"6,020.00",2024-03-28
10,HRL,2024032805000015,35,38,10.00,602.00,"6,020.00",2024-03-28
11,HRL,2024032805000016,35,38,10.00,602.00,"6,020.00",2024-03-28
12,HRL,2024032805000017,35,60,10.00,602.00,"6,020.00",2024-03-28
13,HRL,2024032805000018,35,45,20.00,602.00,"12,040.00",2024-03-28
14,HRL,2024032805000020,35,48,10.00,602.00,"6,020.00",2024-03-28
15,HRL,2024032805000021,35,38,10.00,602.00,"6,020.00",2024-03-28
16,HRL,2024032805000023,51,59,10.00,607.90,"6,079.00",2024-03-28
17,HRL,2024032805000024,25,21,10.00,602.20,"6,022.00",2024-03-28
18,HRL,2024032805000027,74,58,10.00,603.00,"6,030.00",2024-03-28
19,HRL,2024032805000028,74,35,10.00,603.00,"6,030.00",2024-03-28
20,HRL,2024032805000029,25,11,20.00,603.50,"12,070.00",2024-03-28
21,HRL,2024032805000033,25,8,10.00,603.50,"6,035.00",2024-03-28
22,HRL,2024032805000034,25,42,10.00,605.00,"6,050.00",2024-03-28
23,HRL,2024032805000035,25,45,20.00,605.00,"12,100.00",2024-03-28
24,HRL,2024032805000036,25,58,10.00,605.00,"6,050.00",2024-03-28
25,HRL,2024032805000037,25,16,20.00,605.00,"12,100.00",2024-03-28
26,HRL,2024032805000039,74,35,20.00,603.00,"12,060.00",2024-03-28
27,HRL,2024032805000045,74,45,10.00,603.00,"6,030.00",2024-03-28
28,HRL,2024032805000048,74,52,10.00,603.00,"6,030.00",2024-03-28
29,HRL,2024032805000049,74,32,10.00,603.00,"6,030.00",2024-03-28
30,HRL,2024032805000050,74,38,10.00,603.00,"6,030.00",2024-03-28
31,HRL,2024032805000052,74,1,20.00,603.00,"12,060.00",2024-03-28
32,HRL,2024032805000053,42,1,230.00,603.00,"138,690.00",2024-03-28
33,HRL,2024032805000054,42,45,20.00,603.00,"12,060.00",2024-03-28
34,HRL,2024032805000055,62,42,20.00,603.00,"12,060.00",2024-03-28
35,HRL,2024032805000058,62,87,80.00,603.00,"48,240.00",2024-03-28
36,HRL,2024032805000059,45,87,10.00,603.00,"6,030.00",2024-03-28
37,HRL,2024032805000060,45,87,10.00,603.00,"6,030.00",2024-03-28
38,HRL,2024032805000061,45,58,20.00,603.00,"12,060.00",2024-03-28
39,HRL,2024032805000062,45,13,10.00,603.00,"6,030.00",2024-03-28
40,HRL,2024032805000063,45,21,10.00,603.00,"6,030.00",2024-03-28
41,HRL,2024032805000065,45,68,20.00,603.00,"12,060.00",2024-03-28
42,HRL,2024032805000068,45,77,10.00,603.00,"6,030.00",2024-03-28
43,HRL,2024032805000072,45,17,20.00,603.10,"12,062.00",2024-03-28
44,HRL,2024032805000073,45,17,10.00,603.00,"6,030.00",2024-03-28
45,HRL,2024032805000074,45,75,20.00,603.00,"12,060.00",2024-03-28
46,HRL,2024032805000075,45,58,10.00,603.00,"6,030.00",2024-03-28
47,HRL,2024032805000076,45,47,135.00,603.00,"81,405.00",2024-03-28
48,HRL,2024032805000078,45,45,10.00,603.00,"6,030.00",2024-03-28
49,HRL,2024032805000079,1,8,10.00,604.00,"6,040.00",2024-03-28
50,HRL,2024032805000080,45,49,10.00,603.00,"6,030.00",2024-03-28
51,HRL,2024032805000081,50,8,10.00,604.00,"6,040.00",2024-03-28
52,HRL,2024032805000085,50,55,10.00,604.00,"6,040.00",2024-03-28
53,HRL,2024032805000088,45,48,10.00,603.00,"6,030.00",2024-03-28
54,HRL,2024032805000089,45,35,10.00,603.00,"6,030.00",2024-03-28
55,HRL,2024032805000090,74,45,20.00,603.10,"12,062.00",2024-03-28
56,HRL,2024032805000091,74,52,10.00,603.10,"6,031.00",2024-03-28
57,HRL,2024032805000092,74,45,20.00,603.10,"12,062.00",2024-03-28
58,HRL,2024032805000094,74,6,10.00,603.10,"6,031.00",2024-03-28
59,HRL,2024032805000095,74,16,20.00,603.10,"12,062.00",2024-03-28
60,HRL,2024032805000096,56,44,20.00,604.00,"12,080.00",2024-03-28
61,HRL,2024032805000098,74,55,20.00,603.10,"12,062.00",2024-03-28
62,HRL,2024032805000102,45,45,10.00,603.00,"6,030.00",2024-03-28
63,HRL,2024032805000104,45,44,10.00,603.00,"6,030.00",2024-03-28
64,HRL,2024032805000108,54,34,10.00,603.10,"6,031.00",2024-03-28
65,HRL,2024032805000110,45,46,20.00,603.00,"12,060.00",2024-03-28
66,HRL,2024032805000112,42,34,10.00,603.10,"6,031.00",2024-03-28
67,HRL,2024032805000114,39,6,20.00,603.10,"12,062.00",2024-03-28
68,HRL,2024032805000115,39,35,10.00,603.10,"6,031.00",2024-03-28
69,HRL,2024032805000116,39,58,10.00,603.10,"6,031.00",2024-03-28
70,HRL,2024032805000117,39,41,10.00,603.10,"6,031.00",2024-03-28
71,HRL,2024032805000118,45,11,20.00,603.00,"12,060.00",2024-03-28
72,HRL,2024032805000120,45,56,20.00,603.00,"12,060.00",2024-03-28
73,HRL,2024032805000121,45,49,10.00,603.00,"6,030.00",2024-03-28
