SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024032005000003,51,53,10.00,618.00,"6,180.00",2024-03-20
2,HRL,2024032005000004,51,14,10.00,618.00,"6,180.00",2024-03-20
3,HRL,2024032005000016,57,38,10.00,619.00,"6,190.00",2024-03-20
4,HRL,2024032005000018,57,38,10.00,619.00,"6,190.00",2024-03-20
5,HRL,2024032005000020,58,1,20.00,618.10,"12,362.00",2024-03-20
6,HRL,2024032005000022,58,38,10.00,618.10,"6,181.00",2024-03-20
7,HRL,2024032005000027,48,49,10.00,620.00,"6,200.00",2024-03-20
8,HRL,2024032005000030,48,7,10.00,620.00,"6,200.00",2024-03-20
9,HRL,2024032005000032,67,35,10.00,620.00,"6,200.00",2024-03-20
10,HRL,2024032005000033,67,57,20.00,624.90,"12,498.00",2024-03-20
11,HRL,2024032005000034,67,56,10.00,625.00,"6,250.00",2024-03-20
12,HRL,2024032005000035,67,45,10.00,625.00,"6,250.00",2024-03-20
13,HRL,2024032005000036,67,46,10.00,625.00,"6,250.00",2024-03-20
14,HRL,2024032005000037,67,45,10.00,625.00,"6,250.00",2024-03-20
15,HRL,2024032005000038,67,56,20.00,625.00,"12,500.00",2024-03-20
16,HRL,2024032005000039,67,36,400.00,625.00,"250,000.00",2024-03-20
17,HRL,2024032005000040,67,25,20.00,625.00,"12,500.00",2024-03-20
18,HRL,2024032005000041,67,34,30.00,626.00,"18,780.00",2024-03-20
19,HRL,2024032005000042,67,35,10.00,626.90,"6,269.00",2024-03-20
20,HRL,2024032005000043,67,49,200.00,627.00,"125,400.00",2024-03-20
21,HRL,2024032005000044,67,56,250.00,627.00,"156,750.00",2024-03-20
22,HRL,2024032005000057,58,46,10.00,620.10,"6,201.00",2024-03-20
23,HRL,2024032005000065,58,16,160.00,620.10,"99,216.00",2024-03-20
24,HRL,2024032005000066,17,16,40.00,620.00,"24,800.00",2024-03-20
25,HRL,2024032005000067,74,16,300.00,620.00,"186,000.00",2024-03-20
26,HRL,2024032005000068,17,49,20.00,620.20,"12,404.00",2024-03-20
27,HRL,2024032005000069,17,1,20.00,620.20,"12,404.00",2024-03-20
28,HRL,2024032005000070,17,28,50.00,620.20,"31,010.00",2024-03-20
29,HRL,2024032005000072,17,58,10.00,620.20,"6,202.00",2024-03-20
30,HRL,2024032005000082,47,38,10.00,620.20,"6,202.00",2024-03-20
31,HRL,2024032005000084,26,35,20.00,621.00,"12,420.00",2024-03-20
32,HRL,2024032005000094,25,8,10.00,620.30,"6,203.00",2024-03-20
33,HRL,2024032005000095,25,28,10.00,620.30,"6,203.00",2024-03-20
34,HRL,2024032005000100,37,16,100.00,620.40,"62,040.00",2024-03-20
35,HRL,2024032005000101,25,16,280.00,620.30,"173,684.00",2024-03-20
36,HRL,2024032005000102,47,16,10.00,620.20,"6,202.00",2024-03-20
