SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024032605000002,38,58,10.00,606.00,"6,060.00",2024-03-26
2,HRL,2024032605000005,42,35,20.00,606.00,"12,120.00",2024-03-26
3,HRL,2024032605000008,59,51,10.00,607.00,"6,070.00",2024-03-26
4,HRL,2024032605000009,59,42,20.00,607.00,"12,140.00",2024-03-26
5,HRL,2024032605000011,59,38,10.00,607.00,"6,070.00",2024-03-26
6,HRL,2024032605000013,59,58,10.00,607.00,"6,070.00",2024-03-26
7,HRL,2024032605000014,17,25,20.00,608.00,"12,160.00",2024-03-26
8,HRL,2024032605000015,42,35,10.00,606.10,"6,061.00",2024-03-26
9,HRL,2024032605000016,42,47,10.00,606.10,"6,061.00",2024-03-26
10,HRL,2024032605000018,42,45,20.00,606.00,"12,120.00",2024-03-26
11,HRL,2024032605000019,42,58,10.00,606.00,"6,060.00",2024-03-26
12,HRL,2024032605000020,42,35,10.00,606.00,"6,060.00",2024-03-26
13,HRL,2024032605000023,49,54,10.00,608.00,"6,080.00",2024-03-26
14,HRL,2024032605000041,49,29,20.00,608.00,"12,160.00",2024-03-26
15,HRL,2024032605000043,38,49,10.00,606.40,"6,064.00",2024-03-26
16,HRL,2024032605000046,49,42,30.00,608.00,"18,240.00",2024-03-26
17,HRL,2024032605000047,49,56,10.00,608.00,"6,080.00",2024-03-26
18,HRL,2024032605000048,58,13,20.00,607.00,"12,140.00",2024-03-26
19,HRL,2024032605000050,38,38,10.00,608.00,"6,080.00",2024-03-26
20,HRL,2024032605000051,58,38,10.00,608.00,"6,080.00",2024-03-26
21,HRL,2024032605000052,58,4,10.00,608.00,"6,080.00",2024-03-26
22,HRL,2024032605000053,42,58,20.00,608.90,"12,178.00",2024-03-26
23,HRL,2024032605000054,42,48,10.00,609.00,"6,090.00",2024-03-26
24,HRL,2024032605000055,42,39,10.00,609.00,"6,090.00",2024-03-26
25,HRL,2024032605000056,42,39,10.00,609.00,"6,090.00",2024-03-26
26,HRL,2024032605000057,42,49,20.00,609.00,"12,180.00",2024-03-26
27,HRL,2024032605000058,42,45,16.00,609.00,"9,744.00",2024-03-26
28,HRL,2024032605000059,42,57,64.00,609.00,"38,976.00",2024-03-26
29,HRL,2024032605000060,52,57,81.00,609.00,"49,329.00",2024-03-26
30,HRL,2024032605000063,58,38,10.00,608.00,"6,080.00",2024-03-26
31,HRL,2024032605000066,53,38,10.00,608.10,"6,081.00",2024-03-26
32,HRL,2024032605000067,53,6,10.00,608.10,"6,081.00",2024-03-26
33,HRL,2024032605000069,53,58,10.00,608.10,"6,081.00",2024-03-26
34,HRL,2024032605000070,42,57,10.00,609.00,"6,090.00",2024-03-26
35,HRL,2024032605000071,53,33,10.00,608.10,"6,081.00",2024-03-26
36,HRL,2024032605000072,53,38,10.00,608.10,"6,081.00",2024-03-26
37,HRL,2024032605000074,53,38,20.00,608.10,"12,162.00",2024-03-26
38,HRL,2024032605000075,53,43,20.00,608.10,"12,162.00",2024-03-26
39,HRL,2024032605000076,53,45,10.00,608.10,"6,081.00",2024-03-26
40,HRL,2024032605000079,58,8,10.00,608.00,"6,080.00",2024-03-26
41,HRL,2024032605000083,58,58,20.00,608.00,"12,160.00",2024-03-26
42,HRL,2024032605000084,58,40,40.00,608.00,"24,320.00",2024-03-26
43,HRL,2024032605000085,45,40,49.00,608.00,"29,792.00",2024-03-26
44,HRL,2024032605000086,34,40,11.00,608.00,"6,688.00",2024-03-26
45,HRL,2024032605000087,49,38,10.00,607.10,"6,071.00",2024-03-26
46,HRL,2024032605000088,49,17,10.00,607.10,"6,071.00",2024-03-26
47,HRL,2024032605000089,49,17,10.00,607.10,"6,071.00",2024-03-26
48,HRL,2024032605000090,14,17,10.00,607.10,"6,071.00",2024-03-26
