SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040905000004,55,8,10.00,596.00,"5,960.00",2024-04-09
2,HRL,2024040905000005,8,8,15.00,596.00,"8,940.00",2024-04-09
3,HRL,2024040905000006,8,48,20.00,596.00,"11,920.00",2024-04-09
4,HRL,2024040905000007,8,35,10.00,596.00,"5,960.00",2024-04-09
5,HRL,2024040905000008,36,45,10.00,600.00,"6,000.00",2024-04-09
6,HRL,2024040905000009,36,38,10.00,600.00,"6,000.00",2024-04-09
7,HRL,2024040905000010,36,58,80.00,600.00,"48,000.00",2024-04-09
8,HRL,2024040905000013,13,58,10.00,600.00,"6,000.00",2024-04-09
9,HRL,2024040905000015,57,58,10.00,600.00,"6,000.00",2024-04-09
10,HRL,2024040905000016,57,57,10.00,600.00,"6,000.00",2024-04-09
11,HRL,2024040905000022,88,57,10.00,600.00,"6,000.00",2024-04-09
12,HRL,2024040905000023,88,56,20.00,600.00,"12,000.00",2024-04-09
13,HRL,2024040905000024,88,25,20.00,600.00,"12,000.00",2024-04-09
14,HRL,2024040905000025,88,44,25.00,600.00,"15,000.00",2024-04-09
15,HRL,2024040905000033,42,58,92.00,602.00,"55,384.00",2024-04-09
16,HRL,2024040905000037,39,58,20.00,602.00,"12,040.00",2024-04-09
17,HRL,2024040905000038,65,58,38.00,602.00,"22,876.00",2024-04-09
18,HRL,2024040905000039,65,58,20.00,603.00,"12,060.00",2024-04-09
19,HRL,2024040905000040,65,35,10.00,603.00,"6,030.00",2024-04-09
20,HRL,2024040905000041,65,33,140.00,605.00,"84,700.00",2024-04-09
21,HRL,2024040905000042,65,45,100.00,605.00,"60,500.00",2024-04-09
22,HRL,2024040905000043,65,55,20.00,605.00,"12,100.00",2024-04-09
23,HRL,2024040905000044,65,14,10.00,605.00,"6,050.00",2024-04-09
24,HRL,2024040905000045,65,13,100.00,605.00,"60,500.00",2024-04-09
25,HRL,2024040905000046,65,58,10.00,605.00,"6,050.00",2024-04-09
26,HRL,2024040905000047,65,44,10.00,606.00,"6,060.00",2024-04-09
27,HRL,2024040905000048,65,14,10.00,606.00,"6,060.00",2024-04-09
28,HRL,2024040905000049,65,22,30.00,606.00,"18,180.00",2024-04-09
29,HRL,2024040905000050,25,22,20.00,601.00,"12,020.00",2024-04-09
30,HRL,2024040905000052,46,3,20.00,602.00,"12,040.00",2024-04-09
31,HRL,2024040905000053,46,58,10.00,602.00,"6,020.00",2024-04-09
32,HRL,2024040905000055,22,41,10.00,603.00,"6,030.00",2024-04-09
33,HRL,2024040905000056,22,21,91.00,603.00,"54,873.00",2024-04-09
34,HRL,2024040905000061,22,58,10.00,603.00,"6,030.00",2024-04-09
35,HRL,2024040905000062,22,47,10.00,603.00,"6,030.00",2024-04-09
36,HRL,2024040905000064,22,94,20.00,603.00,"12,060.00",2024-04-09
37,HRL,2024040905000065,22,6,10.00,603.00,"6,030.00",2024-04-09
38,HRL,2024040905000067,22,42,10.00,603.00,"6,030.00",2024-04-09
39,HRL,2024040905000068,22,1,10.00,603.00,"6,030.00",2024-04-09
40,HRL,2024040905000071,22,1,10.00,603.00,"6,030.00",2024-04-09
41,HRL,2024040905000078,58,35,10.00,604.00,"6,040.00",2024-04-09
42,HRL,2024040905000080,58,58,10.00,604.00,"6,040.00",2024-04-09
43,HRL,2024040905000081,58,42,30.00,604.00,"18,120.00",2024-04-09
44,HRL,2024040905000084,58,16,10.00,604.00,"6,040.00",2024-04-09
45,HRL,2024040905000085,58,13,10.00,604.00,"6,040.00",2024-04-09
46,HRL,2024040905000088,22,4,20.00,604.10,"12,082.00",2024-04-09
47,HRL,2024040905000089,28,4,10.00,605.00,"6,050.00",2024-04-09
48,HRL,2024040905000090,28,59,10.00,605.00,"6,050.00",2024-04-09
49,HRL,2024040905000091,28,45,480.00,605.00,"290,400.00",2024-04-09
50,HRL,2024040905000093,22,58,10.00,604.10,"6,041.00",2024-04-09
