SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024031705000003,38,58,10.00,630.00,"6,300.00",2024-03-17
2,HRL,2024031705000006,57,40,30.00,629.10,"18,873.00",2024-03-17
3,HRL,2024031705000008,38,38,10.00,630.00,"6,300.00",2024-03-17
4,HRL,2024031705000009,38,42,10.00,630.00,"6,300.00",2024-03-17
5,HRL,2024031705000010,38,32,40.00,630.00,"25,200.00",2024-03-17
6,HRL,2024031705000011,56,35,20.00,630.00,"12,600.00",2024-03-17
7,HRL,2024031705000012,56,54,20.00,630.00,"12,600.00",2024-03-17
8,HRL,2024031705000013,56,14,10.00,630.00,"6,300.00",2024-03-17
9,HRL,2024031705000014,56,14,10.00,630.00,"6,300.00",2024-03-17
10,HRL,2024031705000015,56,41,10.00,630.00,"6,300.00",2024-03-17
11,HRL,2024031705000017,56,47,20.00,630.00,"12,600.00",2024-03-17
12,HRL,2024031705000019,56,21,10.00,630.00,"6,300.00",2024-03-17
13,HRL,2024031705000020,38,47,10.00,630.00,"6,300.00",2024-03-17
14,HRL,2024031705000021,38,52,10.00,630.00,"6,300.00",2024-03-17
15,HRL,2024031705000022,38,4,10.00,630.00,"6,300.00",2024-03-17
16,HRL,2024031705000023,56,4,10.00,630.00,"6,300.00",2024-03-17
17,HRL,2024031705000024,36,20,10.00,630.50,"6,305.00",2024-03-17
18,HRL,2024031705000025,36,57,13.00,631.00,"8,203.00",2024-03-17
19,HRL,2024031705000026,36,47,10.00,631.00,"6,310.00",2024-03-17
20,HRL,2024031705000027,28,41,20.00,634.00,"12,680.00",2024-03-17
21,HRL,2024031705000028,28,38,10.00,635.00,"6,350.00",2024-03-17
22,HRL,2024031705000029,56,47,10.00,631.10,"6,311.00",2024-03-17
23,HRL,2024031705000030,56,47,10.00,631.10,"6,311.00",2024-03-17
24,HRL,2024031705000032,57,47,10.00,631.20,"6,312.00",2024-03-17
25,HRL,2024031705000033,57,35,40.00,631.20,"25,248.00",2024-03-17
26,HRL,2024031705000034,57,47,20.00,631.20,"12,624.00",2024-03-17
27,HRL,2024031705000035,57,38,20.00,631.20,"12,624.00",2024-03-17
28,HRL,2024031705000036,74,47,20.00,632.00,"12,640.00",2024-03-17
29,HRL,2024031705000037,74,28,10.00,632.00,"6,320.00",2024-03-17
30,HRL,2024031705000038,74,53,10.00,632.00,"6,320.00",2024-03-17
31,HRL,2024031705000039,74,47,20.00,632.00,"12,640.00",2024-03-17
32,HRL,2024031705000041,42,47,20.00,632.10,"12,642.00",2024-03-17
33,HRL,2024031705000043,42,47,10.00,632.10,"6,321.00",2024-03-17
34,HRL,2024031705000044,74,47,10.00,632.00,"6,320.00",2024-03-17
35,HRL,2024031705000045,74,38,10.00,632.00,"6,320.00",2024-03-17
36,HRL,2024031705000046,74,47,20.00,632.00,"12,640.00",2024-03-17
37,HRL,2024031705000047,21,49,10.00,633.00,"6,330.00",2024-03-17
38,HRL,2024031705000048,21,51,20.00,634.00,"12,680.00",2024-03-17
39,HRL,2024031705000049,21,57,10.00,634.00,"6,340.00",2024-03-17
40,HRL,2024031705000050,21,58,10.00,634.00,"6,340.00",2024-03-17
41,HRL,2024031705000051,21,19,46.00,634.00,"29,164.00",2024-03-17
42,HRL,2024031705000052,57,33,10.00,632.10,"6,321.00",2024-03-17
43,HRL,2024031705000053,57,56,190.00,632.10,"120,099.00",2024-03-17
44,HRL,2024031705000054,74,56,810.00,632.00,"511,920.00",2024-03-17
45,HRL,2024031705000055,74,38,10.00,632.00,"6,320.00",2024-03-17
46,HRL,2024031705000056,74,45,20.00,632.00,"12,640.00",2024-03-17
47,HRL,2024031705000057,74,59,10.00,632.00,"6,320.00",2024-03-17
48,HRL,2024031705000058,74,57,50.00,632.00,"31,600.00",2024-03-17
49,HRL,2024031705000059,57,57,276.00,631.20,"174,211.20",2024-03-17
50,HRL,2024031705000061,57,47,20.00,631.20,"12,624.00",2024-03-17
51,HRL,2024031705000062,57,59,84.00,631.20,"53,020.80",2024-03-17
52,HRL,2024031705000063,56,59,116.00,631.10,"73,207.60",2024-03-17
53,HRL,2024031705000065,56,52,10.00,631.10,"6,311.00",2024-03-17
54,HRL,2024031705000066,56,47,20.00,631.10,"12,622.00",2024-03-17
55,HRL,2024031705000067,56,57,20.00,631.10,"12,622.00",2024-03-17
56,HRL,2024031705000068,56,69,814.00,631.10,"513,715.40",2024-03-17
