SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040305000002,62,35,10.00,585.00,"5,850.00",2024-04-03
2,HRL,2024040305000004,62,54,10.00,595.00,"5,950.00",2024-04-03
3,HRL,2024040305000006,10,35,10.00,595.20,"5,952.00",2024-04-03
4,HRL,2024040305000007,62,32,10.00,595.00,"5,950.00",2024-04-03
5,HRL,2024040305000008,65,21,10.00,596.00,"5,960.00",2024-04-03
6,HRL,2024040305000012,41,58,10.00,597.00,"5,970.00",2024-04-03
7,HRL,2024040305000015,21,58,10.00,600.00,"6,000.00",2024-04-03
8,HRL,2024040305000016,21,35,10.00,600.00,"6,000.00",2024-04-03
9,HRL,2024040305000017,21,83,30.00,600.00,"18,000.00",2024-04-03
10,HRL,2024040305000018,21,36,100.00,600.00,"60,000.00",2024-04-03
11,HRL,2024040305000019,21,35,30.00,600.00,"18,000.00",2024-04-03
12,HRL,2024040305000020,21,49,10.00,600.00,"6,000.00",2024-04-03
13,HRL,2024040305000021,21,40,20.00,600.00,"12,000.00",2024-04-03
14,HRL,2024040305000022,21,77,10.00,600.00,"6,000.00",2024-04-03
15,HRL,2024040305000023,21,1,100.00,600.00,"60,000.00",2024-04-03
16,HRL,2024040305000024,21,49,10.00,600.00,"6,000.00",2024-04-03
17,HRL,2024040305000025,21,3,100.00,601.00,"60,100.00",2024-04-03
18,HRL,2024040305000026,21,21,10.00,603.00,"6,030.00",2024-04-03
19,HRL,2024040305000027,21,35,20.00,605.00,"12,100.00",2024-04-03
20,HRL,2024040305000028,21,59,100.00,605.00,"60,500.00",2024-04-03
21,HRL,2024040305000029,21,56,22.00,605.90,"13,329.80",2024-04-03
22,HRL,2024040305000030,21,58,10.00,606.00,"6,060.00",2024-04-03
23,HRL,2024040305000031,21,14,100.00,606.00,"60,600.00",2024-04-03
24,HRL,2024040305000032,21,49,10.00,606.00,"6,060.00",2024-04-03
25,HRL,2024040305000033,21,1,250.00,606.00,"151,500.00",2024-04-03
26,HRL,2024040305000034,21,58,20.00,606.59,"12,131.80",2024-04-03
27,HRL,2024040305000035,21,22,20.00,606.90,"12,138.00",2024-04-03
28,HRL,2024040305000036,21,45,20.00,606.90,"12,138.00",2024-04-03
29,HRL,2024040305000037,21,35,20.00,607.00,"12,140.00",2024-04-03
30,HRL,2024040305000038,21,45,200.00,607.00,"121,400.00",2024-04-03
31,HRL,2024040305000039,21,45,20.00,607.90,"12,158.00",2024-04-03
32,HRL,2024040305000040,21,32,10.00,608.00,"6,080.00",2024-04-03
33,HRL,2024040305000042,21,49,10.00,608.00,"6,080.00",2024-04-03
34,HRL,2024040305000043,21,35,10.00,608.00,"6,080.00",2024-04-03
35,HRL,2024040305000045,21,59,200.00,608.00,"121,600.00",2024-04-03
36,HRL,2024040305000047,55,42,150.00,608.50,"91,275.00",2024-04-03
37,HRL,2024040305000048,55,1,20.00,608.50,"12,170.00",2024-04-03
38,HRL,2024040305000049,21,1,148.00,608.00,"89,984.00",2024-04-03
39,HRL,2024040305000050,65,1,32.00,608.00,"19,456.00",2024-04-03
40,HRL,2024040305000051,65,22,60.00,608.80,"36,528.00",2024-04-03
41,HRL,2024040305000052,65,33,89.00,608.90,"54,192.10",2024-04-03
42,HRL,2024040305000053,65,34,481.00,608.90,"292,880.90",2024-04-03
