SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040405000002,7,49,10.00,595.00,"5,950.00",2024-04-04
2,HRL,2024040405000003,7,49,10.00,595.00,"5,950.00",2024-04-04
3,HRL,2024040405000008,22,4,10.00,596.00,"5,960.00",2024-04-04
4,HRL,2024040405000009,22,58,10.00,596.00,"5,960.00",2024-04-04
5,HRL,2024040405000010,49,42,10.00,593.30,"5,933.00",2024-04-04
6,HRL,2024040405000011,14,29,20.00,593.20,"11,864.00",2024-04-04
7,HRL,2024040405000014,22,28,10.00,593.30,"5,933.00",2024-04-04
8,HRL,2024040405000015,14,33,10.00,593.20,"5,932.00",2024-04-04
9,HRL,2024040405000017,14,47,10.00,593.20,"5,932.00",2024-04-04
10,HRL,2024040405000018,14,59,10.00,593.20,"5,932.00",2024-04-04
11,HRL,2024040405000019,14,41,20.00,593.20,"11,864.00",2024-04-04
12,HRL,2024040405000020,33,51,10.00,594.00,"5,940.00",2024-04-04
13,HRL,2024040405000021,14,38,10.00,593.20,"5,932.00",2024-04-04
14,HRL,2024040405000022,14,25,10.00,593.20,"5,932.00",2024-04-04
15,HRL,2024040405000024,22,58,10.00,593.30,"5,933.00",2024-04-04
16,HRL,2024040405000025,22,58,10.00,593.30,"5,933.00",2024-04-04
17,HRL,2024040405000026,14,58,10.00,593.40,"5,934.00",2024-04-04
18,HRL,2024040405000029,14,17,30.00,593.40,"17,802.00",2024-04-04
19,HRL,2024040405000030,14,38,10.00,593.40,"5,934.00",2024-04-04
20,HRL,2024040405000031,56,38,20.00,594.00,"11,880.00",2024-04-04
21,HRL,2024040405000037,1,49,11.00,595.00,"6,545.00",2024-04-04
22,HRL,2024040405000042,14,58,10.00,593.60,"5,936.00",2024-04-04
23,HRL,2024040405000045,14,17,10.00,593.60,"5,936.00",2024-04-04
24,HRL,2024040405000046,50,17,10.00,593.50,"5,935.00",2024-04-04
25,HRL,2024040405000047,50,17,30.00,593.50,"17,805.00",2024-04-04
26,HRL,2024040405000050,50,57,10.00,593.50,"5,935.00",2024-04-04
27,HRL,2024040405000053,22,36,10.00,593.30,"5,933.00",2024-04-04
28,HRL,2024040405000060,22,51,10.00,593.30,"5,933.00",2024-04-04
29,HRL,2024040405000061,22,58,10.00,593.30,"5,933.00",2024-04-04
30,HRL,2024040405000062,22,58,10.00,593.30,"5,933.00",2024-04-04
31,HRL,2024040405000064,77,58,10.00,593.60,"5,936.00",2024-04-04
32,HRL,2024040405000065,77,58,10.00,594.00,"5,940.00",2024-04-04
33,HRL,2024040405000066,77,4,10.00,594.00,"5,940.00",2024-04-04
34,HRL,2024040405000067,77,58,10.00,594.00,"5,940.00",2024-04-04
35,HRL,2024040405000068,77,58,20.00,594.00,"11,880.00",2024-04-04
36,HRL,2024040405000069,77,58,10.00,594.00,"5,940.00",2024-04-04
37,HRL,2024040405000070,77,57,10.00,594.00,"5,940.00",2024-04-04
38,HRL,2024040405000071,77,1,10.00,594.00,"5,940.00",2024-04-04
39,HRL,2024040405000073,39,41,10.00,595.00,"5,950.00",2024-04-04
40,HRL,2024040405000074,39,58,10.00,595.00,"5,950.00",2024-04-04
