SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024032505000008,55,42,10.00,607.00,"6,070.00",2024-03-25
2,HRL,2024032505000013,58,7,10.00,607.00,"6,070.00",2024-03-25
3,HRL,2024032505000014,58,19,10.00,607.00,"6,070.00",2024-03-25
4,HRL,2024032505000019,6,38,10.00,607.00,"6,070.00",2024-03-25
5,HRL,2024032505000029,26,44,10.00,608.00,"6,080.00",2024-03-25
6,HRL,2024032505000030,26,76,10.00,608.00,"6,080.00",2024-03-25
7,HRL,2024032505000031,6,76,31.00,607.00,"18,817.00",2024-03-25
8,HRL,2024032505000040,90,55,10.00,607.00,"6,070.00",2024-03-25
9,HRL,2024032505000042,90,38,10.00,607.00,"6,070.00",2024-03-25
10,HRL,2024032505000045,22,42,10.00,609.00,"6,090.00",2024-03-25
11,HRL,2024032505000049,22,42,20.00,609.00,"12,180.00",2024-03-25
12,HRL,2024032505000050,22,3,10.00,609.00,"6,090.00",2024-03-25
13,HRL,2024032505000051,22,11,20.00,609.00,"12,180.00",2024-03-25
14,HRL,2024032505000053,16,42,50.00,608.00,"30,400.00",2024-03-25
15,HRL,2024032505000054,14,42,100.00,607.20,"60,720.00",2024-03-25
16,HRL,2024032505000055,87,42,28.00,607.10,"16,998.80",2024-03-25
17,HRL,2024032505000056,90,42,10.00,607.00,"6,070.00",2024-03-25
18,HRL,2024032505000057,35,42,200.00,607.00,"121,400.00",2024-03-25
19,HRL,2024032505000058,22,42,50.00,607.00,"30,350.00",2024-03-25
20,HRL,2024032505000067,48,42,50.00,607.00,"30,350.00",2024-03-25
21,HRL,2024032505000068,49,42,30.00,607.00,"18,210.00",2024-03-25
22,HRL,2024032505000070,28,42,182.00,607.00,"110,474.00",2024-03-25
23,HRL,2024032505000071,28,49,10.00,607.00,"6,070.00",2024-03-25
24,HRL,2024032505000073,28,17,108.00,607.00,"65,556.00",2024-03-25
25,HRL,2024032505000074,42,17,100.00,607.00,"60,700.00",2024-03-25
26,HRL,2024032505000075,21,17,25.00,607.00,"15,175.00",2024-03-25
27,HRL,2024032505000076,55,26,10.00,606.80,"6,068.00",2024-03-25
28,HRL,2024032505000077,55,47,20.00,606.80,"12,136.00",2024-03-25
29,HRL,2024032505000082,55,38,10.00,606.80,"6,068.00",2024-03-25
30,HRL,2024032505000083,55,13,10.00,606.80,"6,068.00",2024-03-25
31,HRL,2024032505000084,58,13,90.00,606.70,"54,603.00",2024-03-25
32,HRL,2024032505000085,74,13,50.00,606.60,"30,330.00",2024-03-25
33,HRL,2024032505000086,33,17,87.00,607.00,"52,809.00",2024-03-25
34,HRL,2024032505000087,33,58,10.00,607.00,"6,070.00",2024-03-25
35,HRL,2024032505000089,26,53,50.00,606.50,"30,325.00",2024-03-25
36,HRL,2024032505000090,42,53,50.00,606.00,"30,300.00",2024-03-25
37,HRL,2024032505000091,35,53,100.00,606.00,"60,600.00",2024-03-25
38,HRL,2024032505000092,47,53,50.00,606.00,"30,300.00",2024-03-25
39,HRL,2024032505000093,19,53,70.00,605.00,"42,350.00",2024-03-25
40,HRL,2024032505000095,16,47,20.00,606.60,"12,132.00",2024-03-25
41,HRL,2024032505000098,19,50,20.00,605.00,"12,100.00",2024-03-25
42,HRL,2024032505000099,4,6,10.00,606.50,"6,065.00",2024-03-25
43,HRL,2024032505000101,4,25,40.00,606.50,"24,260.00",2024-03-25
44,HRL,2024032505000102,19,35,10.00,605.00,"6,050.00",2024-03-25
45,HRL,2024032505000112,10,25,10.00,606.00,"6,060.00",2024-03-25
46,HRL,2024032505000113,21,49,10.00,606.00,"6,060.00",2024-03-25
47,HRL,2024032505000116,25,47,20.00,605.10,"12,102.00",2024-03-25
48,HRL,2024032505000121,49,42,50.00,605.20,"30,260.00",2024-03-25
49,HRL,2024032505000122,19,42,100.00,605.20,"60,520.00",2024-03-25
50,HRL,2024032505000123,25,42,230.00,605.10,"139,173.00",2024-03-25
51,HRL,2024032505000124,19,42,15.00,605.00,"9,075.00",2024-03-25
52,HRL,2024032505000125,41,42,30.00,605.00,"18,150.00",2024-03-25
53,HRL,2024032505000126,38,42,100.00,605.00,"60,500.00",2024-03-25
54,HRL,2024032505000129,47,42,50.00,605.00,"30,250.00",2024-03-25
55,HRL,2024032505000132,22,41,20.00,604.20,"12,084.00",2024-03-25
56,HRL,2024032505000133,22,58,20.00,604.20,"12,084.00",2024-03-25
57,HRL,2024032505000135,22,47,10.00,604.20,"6,042.00",2024-03-25
58,HRL,2024032505000136,14,47,10.00,603.20,"6,032.00",2024-03-25
59,HRL,2024032505000137,41,45,10.00,604.20,"6,042.00",2024-03-25
60,HRL,2024032505000138,1,42,44.00,605.00,"26,620.00",2024-03-25
61,HRL,2024032505000141,49,42,50.00,605.00,"30,250.00",2024-03-25
