SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024022805000001,51,4,40.00,609.00,"24,360.00",2024-02-28
2,HRL,2024022805000002,51,40,10.00,609.00,"6,090.00",2024-02-28
3,HRL,2024022805000003,51,58,40.00,609.00,"24,360.00",2024-02-28
4,HRL,2024022805000004,51,48,10.00,609.00,"6,090.00",2024-02-28
5,HRL,2024022805000005,14,45,10.00,609.10,"6,091.00",2024-02-28
6,HRL,2024022805000006,14,25,10.00,609.10,"6,091.00",2024-02-28
7,HRL,2024022805000007,14,55,30.00,609.10,"18,273.00",2024-02-28
8,HRL,2024022805000008,14,52,10.00,609.10,"6,091.00",2024-02-28
9,HRL,2024022805000009,14,49,20.00,609.10,"12,182.00",2024-02-28
10,HRL,2024022805000010,14,58,10.00,609.10,"6,091.00",2024-02-28
11,HRL,2024022805000012,14,36,10.00,609.10,"6,091.00",2024-02-28
12,HRL,2024022805000013,14,59,100.00,609.10,"60,910.00",2024-02-28
13,HRL,2024022805000014,38,59,100.00,609.10,"60,910.00",2024-02-28
14,HRL,2024022805000015,35,49,20.00,610.00,"12,200.00",2024-02-28
15,HRL,2024022805000016,35,59,32.00,610.00,"19,520.00",2024-02-28
16,HRL,2024022805000018,51,38,10.00,609.00,"6,090.00",2024-02-28
17,HRL,2024022805000019,89,87,10.00,609.10,"6,091.00",2024-02-28
18,HRL,2024022805000020,44,58,10.00,610.00,"6,100.00",2024-02-28
19,HRL,2024022805000021,44,45,10.00,610.00,"6,100.00",2024-02-28
20,HRL,2024022805000022,44,35,10.00,610.00,"6,100.00",2024-02-28
21,HRL,2024022805000023,44,52,20.00,610.00,"12,200.00",2024-02-28
22,HRL,2024022805000024,51,52,10.00,609.00,"6,090.00",2024-02-28
23,HRL,2024022805000025,76,17,10.00,612.00,"6,120.00",2024-02-28
24,HRL,2024022805000026,76,58,10.00,614.00,"6,140.00",2024-02-28
25,HRL,2024022805000027,76,55,10.00,614.50,"6,145.00",2024-02-28
26,HRL,2024022805000031,76,55,10.00,614.50,"6,145.00",2024-02-28
27,HRL,2024022805000032,76,52,10.00,615.00,"6,150.00",2024-02-28
28,HRL,2024022805000034,16,58,40.00,615.00,"24,600.00",2024-02-28
29,HRL,2024022805000035,16,45,10.00,615.00,"6,150.00",2024-02-28
30,HRL,2024022805000036,16,35,10.00,615.00,"6,150.00",2024-02-28
31,HRL,2024022805000037,16,13,10.00,615.00,"6,150.00",2024-02-28
32,HRL,2024022805000038,16,58,10.00,615.00,"6,150.00",2024-02-28
33,HRL,2024022805000039,16,42,10.00,615.00,"6,150.00",2024-02-28
34,HRL,2024022805000040,16,74,10.00,617.00,"6,170.00",2024-02-28
35,HRL,2024022805000041,16,34,100.00,618.80,"61,880.00",2024-02-28
36,HRL,2024022805000046,89,54,10.00,610.10,"6,101.00",2024-02-28
37,HRL,2024022805000047,35,54,10.00,610.00,"6,100.00",2024-02-28
38,HRL,2024022805000050,35,58,10.00,610.00,"6,100.00",2024-02-28
39,HRL,2024022805000051,35,52,20.00,610.00,"12,200.00",2024-02-28
40,HRL,2024022805000053,40,33,10.00,610.10,"6,101.00",2024-02-28
41,HRL,2024022805000054,40,28,10.00,610.10,"6,101.00",2024-02-28
42,HRL,2024022805000055,65,34,10.00,615.00,"6,150.00",2024-02-28
43,HRL,2024022805000056,65,49,10.00,615.90,"6,159.00",2024-02-28
44,HRL,2024022805000058,51,22,10.00,615.00,"6,150.00",2024-02-28
45,HRL,2024022805000059,51,87,20.00,615.00,"12,300.00",2024-02-28
46,HRL,2024022805000060,51,5,50.00,616.00,"30,800.00",2024-02-28
47,HRL,2024022805000061,7,13,10.00,613.00,"6,130.00",2024-02-28
48,HRL,2024022805000062,7,25,10.00,613.00,"6,130.00",2024-02-28
49,HRL,2024022805000063,7,55,40.00,613.00,"24,520.00",2024-02-28
50,HRL,2024022805000064,58,38,10.00,614.00,"6,140.00",2024-02-28
51,HRL,2024022805000065,7,22,10.00,613.00,"6,130.00",2024-02-28
52,HRL,2024022805000067,7,58,10.00,613.00,"6,130.00",2024-02-28
53,HRL,2024022805000068,7,55,10.00,613.00,"6,130.00",2024-02-28
54,HRL,2024022805000069,7,57,10.00,613.00,"6,130.00",2024-02-28
55,HRL,2024022805000072,7,45,10.00,613.00,"6,130.00",2024-02-28
56,HRL,2024022805000073,7,42,10.00,613.00,"6,130.00",2024-02-28
57,HRL,2024022805000077,7,29,20.00,613.00,"12,260.00",2024-02-28
58,HRL,2024022805000080,65,4,10.00,614.00,"6,140.00",2024-02-28
59,HRL,2024022805000081,65,44,10.00,614.00,"6,140.00",2024-02-28
60,HRL,2024022805000084,7,49,10.00,613.00,"6,130.00",2024-02-28
61,HRL,2024022805000091,65,38,10.00,613.00,"6,130.00",2024-02-28
62,HRL,2024022805000092,65,42,20.00,614.00,"12,280.00",2024-02-28
63,HRL,2024022805000095,58,42,10.00,612.00,"6,120.00",2024-02-28
64,HRL,2024022805000099,14,38,10.00,611.00,"6,110.00",2024-02-28
65,HRL,2024022805000100,14,94,20.00,611.00,"12,220.00",2024-02-28
66,HRL,2024022805000104,14,49,10.00,611.00,"6,110.00",2024-02-28
67,HRL,2024022805000106,41,42,90.00,612.00,"55,080.00",2024-02-28
68,HRL,2024022805000107,41,22,10.00,612.00,"6,120.00",2024-02-28
69,HRL,2024022805000108,41,44,10.00,613.00,"6,130.00",2024-02-28
70,HRL,2024022805000109,41,35,10.00,614.00,"6,140.00",2024-02-28
71,HRL,2024022805000110,41,21,10.00,614.00,"6,140.00",2024-02-28
72,HRL,2024022805000111,41,34,20.00,614.80,"12,296.00",2024-02-28
73,HRL,2024022805000114,14,45,10.00,611.00,"6,110.00",2024-02-28
74,HRL,2024022805000115,29,45,10.00,611.00,"6,110.00",2024-02-28
75,HRL,2024022805000116,29,41,10.00,611.00,"6,110.00",2024-02-28
76,HRL,2024022805000117,29,45,20.00,611.00,"12,220.00",2024-02-28
77,HRL,2024022805000118,29,63,20.00,611.00,"12,220.00",2024-02-28
78,HRL,2024022805000119,29,58,20.00,611.00,"12,220.00",2024-02-28
79,HRL,2024022805000120,29,33,10.00,611.00,"6,110.00",2024-02-28
80,HRL,2024022805000129,29,16,10.00,611.00,"6,110.00",2024-02-28
81,HRL,2024022805000130,29,14,10.00,611.00,"6,110.00",2024-02-28
82,HRL,2024022805000131,29,1,10.00,611.00,"6,110.00",2024-02-28
