SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040105000011,49,6,10.00,600.00,"6,000.00",2024-04-01
2,HRL,2024040105000014,42,46,30.00,599.00,"17,970.00",2024-04-01
3,HRL,2024040105000015,42,7,20.00,599.00,"11,980.00",2024-04-01
4,HRL,2024040105000017,5,45,30.00,598.00,"17,940.00",2024-04-01
5,HRL,2024040105000019,5,49,10.00,598.00,"5,980.00",2024-04-01
6,HRL,2024040105000021,5,42,460.00,598.00,"275,080.00",2024-04-01
7,HRL,2024040105000022,50,42,100.00,598.00,"59,800.00",2024-04-01
8,HRL,2024040105000023,62,42,10.00,598.00,"5,980.00",2024-04-01
9,HRL,2024040105000024,34,29,20.00,596.10,"11,922.00",2024-04-01
10,HRL,2024040105000025,34,58,10.00,596.10,"5,961.00",2024-04-01
11,HRL,2024040105000026,34,6,10.00,596.10,"5,961.00",2024-04-01
12,HRL,2024040105000031,36,42,100.00,598.00,"59,800.00",2024-04-01
13,HRL,2024040105000033,34,54,10.00,596.30,"5,963.00",2024-04-01
14,HRL,2024040105000036,14,39,10.00,597.00,"5,970.00",2024-04-01
15,HRL,2024040105000037,33,41,10.00,597.00,"5,970.00",2024-04-01
16,HRL,2024040105000041,33,45,10.00,597.00,"5,970.00",2024-04-01
17,HRL,2024040105000042,33,45,10.00,597.00,"5,970.00",2024-04-01
18,HRL,2024040105000044,22,42,80.00,598.00,"47,840.00",2024-04-01
19,HRL,2024040105000045,22,42,20.00,598.00,"11,960.00",2024-04-01
20,HRL,2024040105000049,33,49,10.00,597.50,"5,975.00",2024-04-01
21,HRL,2024040105000050,29,42,20.00,598.00,"11,960.00",2024-04-01
22,HRL,2024040105000051,33,49,10.00,597.50,"5,975.00",2024-04-01
23,HRL,2024040105000053,33,56,40.00,597.50,"23,900.00",2024-04-01
24,HRL,2024040105000054,1,42,50.00,598.00,"29,900.00",2024-04-01
25,HRL,2024040105000055,33,58,10.00,597.50,"5,975.00",2024-04-01
26,HRL,2024040105000059,33,42,100.00,598.00,"59,800.00",2024-04-01
27,HRL,2024040105000062,45,42,500.00,598.00,"299,000.00",2024-04-01
28,HRL,2024040105000063,57,42,50.00,598.00,"29,900.00",2024-04-01
29,HRL,2024040105000064,1,45,10.00,597.60,"5,976.00",2024-04-01
30,HRL,2024040105000066,26,42,10.00,598.00,"5,980.00",2024-04-01
