SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024022705000001,38,49,10.00,616.00,"6,160.00",2024-02-27
2,HRL,2024022705000003,45,26,10.00,616.10,"6,161.00",2024-02-27
3,HRL,2024022705000004,45,45,10.00,616.10,"6,161.00",2024-02-27
4,HRL,2024022705000008,45,49,10.00,616.10,"6,161.00",2024-02-27
5,HRL,2024022705000009,45,36,10.00,616.10,"6,161.00",2024-02-27
6,HRL,2024022705000010,45,35,10.00,616.10,"6,161.00",2024-02-27
7,HRL,2024022705000011,7,6,10.00,616.20,"6,162.00",2024-02-27
8,HRL,2024022705000012,7,58,10.00,616.20,"6,162.00",2024-02-27
9,HRL,2024022705000013,7,8,10.00,616.20,"6,162.00",2024-02-27
10,HRL,2024022705000014,69,35,10.00,618.00,"6,180.00",2024-02-27
11,HRL,2024022705000015,69,58,10.00,618.00,"6,180.00",2024-02-27
12,HRL,2024022705000016,69,54,10.00,618.00,"6,180.00",2024-02-27
13,HRL,2024022705000017,69,37,10.00,619.00,"6,190.00",2024-02-27
14,HRL,2024022705000020,58,38,10.00,617.00,"6,170.00",2024-02-27
15,HRL,2024022705000021,26,28,10.00,617.50,"6,175.00",2024-02-27
16,HRL,2024022705000023,58,7,20.00,617.00,"12,340.00",2024-02-27
17,HRL,2024022705000026,58,59,10.00,617.00,"6,170.00",2024-02-27
18,HRL,2024022705000027,58,41,10.00,617.00,"6,170.00",2024-02-27
19,HRL,2024022705000032,62,71,10.00,619.00,"6,190.00",2024-02-27
20,HRL,2024022705000033,58,57,50.00,617.00,"30,850.00",2024-02-27
21,HRL,2024022705000034,7,57,40.00,617.00,"24,680.00",2024-02-27
22,HRL,2024022705000036,7,38,10.00,617.00,"6,170.00",2024-02-27
23,HRL,2024022705000038,17,36,10.00,617.10,"6,171.00",2024-02-27
24,HRL,2024022705000039,7,58,20.00,617.00,"12,340.00",2024-02-27
25,HRL,2024022705000041,43,41,28.00,618.90,"17,329.20",2024-02-27
26,HRL,2024022705000042,45,45,20.00,617.10,"12,342.00",2024-02-27
27,HRL,2024022705000049,45,36,10.00,617.10,"6,171.00",2024-02-27
28,HRL,2024022705000052,13,38,10.00,617.20,"6,172.00",2024-02-27
29,HRL,2024022705000053,13,55,90.00,617.20,"55,548.00",2024-02-27
30,HRL,2024022705000054,7,55,50.00,617.20,"30,860.00",2024-02-27
31,HRL,2024022705000055,45,55,10.00,617.10,"6,171.00",2024-02-27
32,HRL,2024022705000059,45,42,10.00,617.10,"6,171.00",2024-02-27
33,HRL,2024022705000060,56,42,20.00,616.50,"12,330.00",2024-02-27
34,HRL,2024022705000063,54,49,10.00,617.20,"6,172.00",2024-02-27
35,HRL,2024022705000064,56,58,20.00,616.50,"12,330.00",2024-02-27
36,HRL,2024022705000066,56,43,20.00,616.50,"12,330.00",2024-02-27
37,HRL,2024022705000067,54,35,10.00,617.00,"6,170.00",2024-02-27
38,HRL,2024022705000070,56,28,10.00,616.50,"6,165.00",2024-02-27
39,HRL,2024022705000071,94,35,10.00,617.00,"6,170.00",2024-02-27
40,HRL,2024022705000072,94,58,10.00,617.20,"6,172.00",2024-02-27
41,HRL,2024022705000073,94,43,10.00,618.00,"6,180.00",2024-02-27
42,HRL,2024022705000074,94,49,10.00,618.00,"6,180.00",2024-02-27
43,HRL,2024022705000075,56,49,20.00,616.50,"12,330.00",2024-02-27
44,HRL,2024022705000077,56,49,10.00,616.50,"6,165.00",2024-02-27
45,HRL,2024022705000080,56,36,10.00,616.50,"6,165.00",2024-02-27
46,HRL,2024022705000082,56,42,10.00,616.50,"6,165.00",2024-02-27
47,HRL,2024022705000083,56,22,20.00,616.50,"12,330.00",2024-02-27
48,HRL,2024022705000085,56,11,10.00,616.50,"6,165.00",2024-02-27
49,HRL,2024022705000086,56,58,10.00,616.50,"6,165.00",2024-02-27
50,HRL,2024022705000087,14,58,10.00,617.00,"6,170.00",2024-02-27
51,HRL,2024022705000088,14,42,10.00,617.00,"6,170.00",2024-02-27
52,HRL,2024022705000089,14,45,20.00,617.00,"12,340.00",2024-02-27
53,HRL,2024022705000090,14,41,10.00,617.00,"6,170.00",2024-02-27
54,HRL,2024022705000091,14,58,10.00,617.00,"6,170.00",2024-02-27
55,HRL,2024022705000093,14,48,10.00,617.00,"6,170.00",2024-02-27
56,HRL,2024022705000094,14,49,10.00,617.00,"6,170.00",2024-02-27
57,HRL,2024022705000096,14,42,10.00,617.00,"6,170.00",2024-02-27
58,HRL,2024022705000097,14,55,10.00,617.00,"6,170.00",2024-02-27
59,HRL,2024022705000098,14,32,20.00,617.00,"12,340.00",2024-02-27
60,HRL,2024022705000099,14,34,10.00,617.00,"6,170.00",2024-02-27
61,HRL,2024022705000100,14,58,20.00,617.00,"12,340.00",2024-02-27
62,HRL,2024022705000101,14,58,20.00,617.00,"12,340.00",2024-02-27
63,HRL,2024022705000103,14,42,10.00,617.00,"6,170.00",2024-02-27
64,HRL,2024022705000104,14,54,10.00,617.00,"6,170.00",2024-02-27
65,HRL,2024022705000105,17,4,20.00,617.10,"12,342.00",2024-02-27
66,HRL,2024022705000106,17,58,10.00,618.00,"6,180.00",2024-02-27
67,HRL,2024022705000107,17,45,10.00,618.00,"6,180.00",2024-02-27
68,HRL,2024022705000108,38,57,10.00,617.10,"6,171.00",2024-02-27
69,HRL,2024022705000109,38,42,10.00,617.10,"6,171.00",2024-02-27
70,HRL,2024022705000110,38,28,20.00,617.10,"12,342.00",2024-02-27
71,HRL,2024022705000111,38,17,10.00,617.10,"6,171.00",2024-02-27
72,HRL,2024022705000112,38,58,20.00,617.10,"12,342.00",2024-02-27
73,HRL,2024022705000113,38,14,10.00,617.10,"6,171.00",2024-02-27
74,HRL,2024022705000114,38,57,20.00,617.10,"12,342.00",2024-02-27
75,HRL,2024022705000115,14,57,10.00,617.00,"6,170.00",2024-02-27
76,HRL,2024022705000116,94,57,20.00,617.00,"12,340.00",2024-02-27
77,HRL,2024022705000117,94,58,20.00,617.00,"12,340.00",2024-02-27
78,HRL,2024022705000118,94,28,10.00,617.00,"6,170.00",2024-02-27
79,HRL,2024022705000119,94,6,10.00,617.00,"6,170.00",2024-02-27
80,HRL,2024022705000122,94,77,20.00,617.00,"12,340.00",2024-02-27
81,HRL,2024022705000123,94,42,20.00,617.00,"12,340.00",2024-02-27
82,HRL,2024022705000124,94,59,10.00,617.00,"6,170.00",2024-02-27
83,HRL,2024022705000125,94,8,10.00,617.00,"6,170.00",2024-02-27
84,HRL,2024022705000127,94,58,10.00,617.00,"6,170.00",2024-02-27
85,HRL,2024022705000128,94,21,10.00,617.00,"6,170.00",2024-02-27
