SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024022205000002,56,35,10.00,633.20,"6,332.00",2024-02-22
2,HRL,2024022205000003,56,58,10.00,633.20,"6,332.00",2024-02-22
3,HRL,2024022205000004,32,49,10.00,633.00,"6,330.00",2024-02-22
4,HRL,2024022205000005,32,29,10.00,633.00,"6,330.00",2024-02-22
5,HRL,2024022205000006,32,17,20.00,633.00,"12,660.00",2024-02-22
6,HRL,2024022205000008,32,17,20.00,633.00,"12,660.00",2024-02-22
7,HRL,2024022205000013,67,44,30.00,633.10,"18,993.00",2024-02-22
8,HRL,2024022205000014,76,42,10.00,637.90,"6,379.00",2024-02-22
9,HRL,2024022205000016,67,58,40.00,633.10,"25,324.00",2024-02-22
10,HRL,2024022205000018,67,21,10.00,633.10,"6,331.00",2024-02-22
11,HRL,2024022205000020,45,17,20.00,633.20,"12,664.00",2024-02-22
12,HRL,2024022205000021,76,42,10.00,634.90,"6,349.00",2024-02-22
13,HRL,2024022205000022,76,17,10.00,635.00,"6,350.00",2024-02-22
14,HRL,2024022205000023,45,54,10.00,633.20,"6,332.00",2024-02-22
15,HRL,2024022205000024,45,17,20.00,633.20,"12,664.00",2024-02-22
16,HRL,2024022205000027,67,58,10.00,633.10,"6,331.00",2024-02-22
17,HRL,2024022205000028,67,17,20.00,633.10,"12,662.00",2024-02-22
18,HRL,2024022205000030,58,58,10.00,633.30,"6,333.00",2024-02-22
19,HRL,2024022205000031,67,57,10.00,633.10,"6,331.00",2024-02-22
20,HRL,2024022205000032,34,58,10.00,633.50,"6,335.00",2024-02-22
21,HRL,2024022205000033,34,49,10.00,633.50,"6,335.00",2024-02-22
22,HRL,2024022205000034,34,45,10.00,633.50,"6,335.00",2024-02-22
23,HRL,2024022205000035,25,7,10.00,633.60,"6,336.00",2024-02-22
24,HRL,2024022205000036,25,52,10.00,633.60,"6,336.00",2024-02-22
25,HRL,2024022205000038,49,17,10.00,633.70,"6,337.00",2024-02-22
26,HRL,2024022205000039,25,17,20.00,633.60,"12,672.00",2024-02-22
27,HRL,2024022205000040,33,17,20.00,633.70,"12,674.00",2024-02-22
28,HRL,2024022205000041,33,56,30.00,633.70,"19,011.00",2024-02-22
29,HRL,2024022205000042,33,49,30.00,633.70,"19,011.00",2024-02-22
30,HRL,2024022205000044,32,54,10.00,634.00,"6,340.00",2024-02-22
31,HRL,2024022205000045,32,4,10.00,634.30,"6,343.00",2024-02-22
32,HRL,2024022205000046,76,58,100.00,634.80,"63,480.00",2024-02-22
33,HRL,2024022205000048,45,59,50.00,634.90,"31,745.00",2024-02-22
34,HRL,2024022205000049,38,59,30.00,634.90,"19,047.00",2024-02-22
35,HRL,2024022205000050,40,59,30.00,634.90,"19,047.00",2024-02-22
36,HRL,2024022205000051,40,48,10.00,634.90,"6,349.00",2024-02-22
37,HRL,2024022205000052,40,3,10.00,634.90,"6,349.00",2024-02-22
38,HRL,2024022205000053,32,17,10.00,635.00,"6,350.00",2024-02-22
39,HRL,2024022205000054,32,45,30.00,635.00,"19,050.00",2024-02-22
40,HRL,2024022205000055,32,17,20.00,635.00,"12,700.00",2024-02-22
41,HRL,2024022205000056,32,17,20.00,635.00,"12,700.00",2024-02-22
42,HRL,2024022205000057,32,42,100.00,635.00,"63,500.00",2024-02-22
43,HRL,2024022205000058,32,18,50.00,635.00,"31,750.00",2024-02-22
44,HRL,2024022205000059,32,54,10.00,635.00,"6,350.00",2024-02-22
45,HRL,2024022205000062,33,67,10.00,635.50,"6,355.00",2024-02-22
46,HRL,2024022205000064,33,42,20.00,635.50,"12,710.00",2024-02-22
47,HRL,2024022205000065,33,42,10.00,635.50,"6,355.00",2024-02-22
48,HRL,2024022205000066,44,38,10.00,637.00,"6,370.00",2024-02-22
49,HRL,2024022205000072,32,35,10.00,636.00,"6,360.00",2024-02-22
50,HRL,2024022205000073,32,34,10.00,636.00,"6,360.00",2024-02-22
51,HRL,2024022205000074,32,28,20.00,636.00,"12,720.00",2024-02-22
52,HRL,2024022205000075,32,22,10.00,636.00,"6,360.00",2024-02-22
53,HRL,2024022205000076,32,57,10.00,636.00,"6,360.00",2024-02-22
54,HRL,2024022205000077,32,54,10.00,636.00,"6,360.00",2024-02-22
55,HRL,2024022205000079,32,55,10.00,636.00,"6,360.00",2024-02-22
56,HRL,2024022205000080,32,7,20.00,636.00,"12,720.00",2024-02-22
57,HRL,2024022205000083,59,11,20.00,636.90,"12,738.00",2024-02-22
58,HRL,2024022205000084,59,38,10.00,637.00,"6,370.00",2024-02-22
59,HRL,2024022205000085,59,42,70.00,637.00,"44,590.00",2024-02-22
60,HRL,2024022205000086,58,42,30.00,637.00,"19,110.00",2024-02-22
61,HRL,2024022205000088,32,48,200.00,637.00,"127,400.00",2024-02-22
62,HRL,2024022205000090,32,49,10.00,636.00,"6,360.00",2024-02-22
63,HRL,2024022205000091,32,13,10.00,636.00,"6,360.00",2024-02-22
64,HRL,2024022205000092,44,38,10.00,636.00,"6,360.00",2024-02-22
65,HRL,2024022205000096,44,17,20.00,636.00,"12,720.00",2024-02-22
66,HRL,2024022205000097,44,42,20.00,636.00,"12,720.00",2024-02-22
67,HRL,2024022205000098,44,40,10.00,636.00,"6,360.00",2024-02-22
68,HRL,2024022205000100,58,48,120.00,637.00,"76,440.00",2024-02-22
69,HRL,2024022205000101,44,28,20.00,636.00,"12,720.00",2024-02-22
70,HRL,2024022205000105,38,54,10.00,636.10,"6,361.00",2024-02-22
71,HRL,2024022205000107,38,58,10.00,636.10,"6,361.00",2024-02-22
72,HRL,2024022205000108,38,58,10.00,636.10,"6,361.00",2024-02-22
73,HRL,2024022205000109,38,56,10.00,636.10,"6,361.00",2024-02-22
74,HRL,2024022205000110,56,48,10.00,637.00,"6,370.00",2024-02-22
75,HRL,2024022205000111,38,57,10.00,636.10,"6,361.00",2024-02-22
76,HRL,2024022205000112,44,57,10.00,636.00,"6,360.00",2024-02-22
77,HRL,2024022205000114,44,49,10.00,636.00,"6,360.00",2024-02-22
78,HRL,2024022205000115,32,48,20.00,637.00,"12,740.00",2024-02-22
79,HRL,2024022205000116,45,42,10.00,636.00,"6,360.00",2024-02-22
80,HRL,2024022205000117,33,45,30.00,636.50,"19,095.00",2024-02-22
81,HRL,2024022205000121,45,48,100.00,637.00,"63,700.00",2024-02-22
82,HRL,2024022205000122,46,48,50.00,637.00,"31,850.00",2024-02-22
83,HRL,2024022205000123,74,48,500.00,637.00,"318,500.00",2024-02-22
