SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024030405000009,25,86,10.00,607.50,"6,075.00",2024-03-04
2,HRL,2024030405000010,25,1,10.00,607.50,"6,075.00",2024-03-04
3,HRL,2024030405000011,25,39,10.00,607.50,"6,075.00",2024-03-04
4,HRL,2024030405000012,25,45,10.00,607.50,"6,075.00",2024-03-04
5,HRL,2024030405000013,25,51,20.00,607.50,"12,150.00",2024-03-04
6,HRL,2024030405000014,25,55,500.00,607.50,"303,750.00",2024-03-04
7,HRL,2024030405000015,25,18,20.00,607.50,"12,150.00",2024-03-04
8,HRL,2024030405000021,22,86,10.00,619.00,"6,190.00",2024-03-04
9,HRL,2024030405000022,32,86,260.00,619.00,"160,940.00",2024-03-04
10,HRL,2024030405000023,32,94,10.00,619.60,"6,196.00",2024-03-04
11,HRL,2024030405000033,53,41,30.00,631.00,"18,930.00",2024-03-04
12,HRL,2024030405000035,72,41,70.00,631.00,"44,170.00",2024-03-04
13,HRL,2024030405000036,72,29,100.00,631.00,"63,100.00",2024-03-04
14,HRL,2024030405000037,72,86,230.00,631.00,"145,130.00",2024-03-04
15,HRL,2024030405000038,72,25,20.00,631.90,"12,638.00",2024-03-04
16,HRL,2024030405000042,38,26,100.00,631.00,"63,100.00",2024-03-04
17,HRL,2024030405000045,38,45,100.00,631.00,"63,100.00",2024-03-04
18,HRL,2024030405000046,34,1,10.00,622.00,"6,220.00",2024-03-04
19,HRL,2024030405000049,21,26,100.00,630.00,"63,000.00",2024-03-04
20,HRL,2024030405000050,44,45,400.00,631.00,"252,400.00",2024-03-04
21,HRL,2024030405000051,49,6,50.00,631.90,"31,595.00",2024-03-04
22,HRL,2024030405000052,49,20,50.00,635.00,"31,750.00",2024-03-04
23,HRL,2024030405000054,49,58,40.00,635.00,"25,400.00",2024-03-04
24,HRL,2024030405000055,49,62,320.00,635.00,"203,200.00",2024-03-04
25,HRL,2024030405000056,42,62,85.00,631.90,"53,711.50",2024-03-04
26,HRL,2024030405000057,1,62,400.00,631.00,"252,400.00",2024-03-04
27,HRL,2024030405000058,1,62,100.00,630.00,"63,000.00",2024-03-04
28,HRL,2024030405000066,29,34,20.00,627.00,"12,540.00",2024-03-04
29,HRL,2024030405000067,29,62,130.00,630.00,"81,900.00",2024-03-04
30,HRL,2024030405000069,72,62,150.00,630.00,"94,500.00",2024-03-04
31,HRL,2024030405000072,17,62,200.00,630.00,"126,000.00",2024-03-04
32,HRL,2024030405000073,58,74,10.00,621.10,"6,211.00",2024-03-04
33,HRL,2024030405000074,74,74,90.00,621.00,"55,890.00",2024-03-04
34,HRL,2024030405000075,29,62,100.00,630.00,"63,000.00",2024-03-04
35,HRL,2024030405000076,42,21,20.00,629.00,"12,580.00",2024-03-04
36,HRL,2024030405000077,42,62,80.00,630.00,"50,400.00",2024-03-04
37,HRL,2024030405000079,50,77,200.00,629.00,"125,800.00",2024-03-04
38,HRL,2024030405000080,50,62,100.00,630.00,"63,000.00",2024-03-04
39,HRL,2024030405000082,29,62,50.00,630.00,"31,500.00",2024-03-04
40,HRL,2024030405000083,28,62,150.00,630.00,"94,500.00",2024-03-04
41,HRL,2024030405000085,35,62,100.00,630.00,"63,000.00",2024-03-04
42,HRL,2024030405000087,72,62,35.00,630.00,"22,050.00",2024-03-04
43,HRL,2024030405000088,72,25,50.00,630.00,"31,500.00",2024-03-04
44,HRL,2024030405000089,72,69,415.00,630.00,"261,450.00",2024-03-04
45,HRL,2024030405000090,4,69,355.00,630.00,"223,650.00",2024-03-04
46,HRL,2024030405000092,32,58,30.00,627.00,"18,810.00",2024-03-04
47,HRL,2024030405000093,85,58,20.00,625.00,"12,500.00",2024-03-04
48,HRL,2024030405000094,41,69,100.00,630.00,"63,000.00",2024-03-04
49,HRL,2024030405000095,57,69,500.00,630.00,"315,000.00",2024-03-04
50,HRL,2024030405000096,36,69,20.00,630.00,"12,600.00",2024-03-04
51,HRL,2024030405000100,42,69,100.00,630.00,"63,000.00",2024-03-04
52,HRL,2024030405000104,42,69,200.00,630.00,"126,000.00",2024-03-04
