SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024030305000001,45,21,10.00,605.40,"6,054.00",2024-03-03
2,HRL,2024030305000002,45,58,10.00,605.40,"6,054.00",2024-03-03
3,HRL,2024030305000003,52,58,20.00,605.40,"12,108.00",2024-03-03
4,HRL,2024030305000005,69,42,10.00,610.00,"6,100.00",2024-03-03
5,HRL,2024030305000006,69,22,10.00,613.00,"6,130.00",2024-03-03
6,HRL,2024030305000007,52,57,10.00,606.00,"6,060.00",2024-03-03
7,HRL,2024030305000008,42,57,15.00,605.40,"9,081.00",2024-03-03
8,HRL,2024030305000010,69,22,10.00,613.00,"6,130.00",2024-03-03
9,HRL,2024030305000012,55,32,10.00,610.00,"6,100.00",2024-03-03
10,HRL,2024030305000013,58,58,10.00,606.00,"6,060.00",2024-03-03
11,HRL,2024030305000015,53,7,10.00,605.40,"6,054.00",2024-03-03
12,HRL,2024030305000017,53,59,10.00,605.40,"6,054.00",2024-03-03
13,HRL,2024030305000019,53,45,10.00,605.40,"6,054.00",2024-03-03
14,HRL,2024030305000020,53,20,20.00,605.40,"12,108.00",2024-03-03
15,HRL,2024030305000021,32,56,20.00,605.20,"12,104.00",2024-03-03
16,HRL,2024030305000022,32,71,80.00,605.20,"48,416.00",2024-03-03
17,HRL,2024030305000023,57,71,85.00,605.10,"51,433.50",2024-03-03
18,HRL,2024030305000024,13,71,500.00,605.10,"302,550.00",2024-03-03
19,HRL,2024030305000025,3,71,35.00,605.00,"21,175.00",2024-03-03
20,HRL,2024030305000028,21,58,10.00,606.00,"6,060.00",2024-03-03
21,HRL,2024030305000029,48,45,10.00,605.20,"6,052.00",2024-03-03
22,HRL,2024030305000030,48,8,10.00,605.40,"6,054.00",2024-03-03
23,HRL,2024030305000031,3,8,10.00,605.00,"6,050.00",2024-03-03
24,HRL,2024030305000032,21,39,10.00,605.10,"6,051.00",2024-03-03
25,HRL,2024030305000033,21,28,10.00,605.10,"6,051.00",2024-03-03
26,HRL,2024030305000034,58,32,10.00,610.00,"6,100.00",2024-03-03
27,HRL,2024030305000035,58,81,150.00,610.00,"91,500.00",2024-03-03
28,HRL,2024030305000040,1,47,20.00,605.40,"12,108.00",2024-03-03
29,HRL,2024030305000043,1,55,10.00,605.40,"6,054.00",2024-03-03
30,HRL,2024030305000044,1,65,10.00,605.40,"6,054.00",2024-03-03
31,HRL,2024030305000046,6,47,10.00,606.00,"6,060.00",2024-03-03
32,HRL,2024030305000047,1,47,20.00,605.40,"12,108.00",2024-03-03
33,HRL,2024030305000048,58,58,10.00,607.00,"6,070.00",2024-03-03
34,HRL,2024030305000049,72,56,500.00,605.50,"302,750.00",2024-03-03
35,HRL,2024030305000050,1,56,240.00,605.40,"145,296.00",2024-03-03
36,HRL,2024030305000051,34,56,60.00,605.40,"36,324.00",2024-03-03
37,HRL,2024030305000052,41,56,30.00,605.30,"18,159.00",2024-03-03
38,HRL,2024030305000053,33,56,10.00,605.20,"6,052.00",2024-03-03
39,HRL,2024030305000054,21,56,160.00,605.10,"96,816.00",2024-03-03
40,HRL,2024030305000055,21,58,320.00,605.10,"193,632.00",2024-03-03
41,HRL,2024030305000056,94,58,10.00,605.10,"6,051.00",2024-03-03
42,HRL,2024030305000058,94,39,10.00,605.10,"6,051.00",2024-03-03
43,HRL,2024030305000059,94,71,280.00,605.10,"169,428.00",2024-03-03
44,HRL,2024030305000060,4,71,15.00,605.10,"9,076.50",2024-03-03
45,HRL,2024030305000061,3,54,10.00,605.00,"6,050.00",2024-03-03
46,HRL,2024030305000062,3,39,10.00,605.00,"6,050.00",2024-03-03
47,HRL,2024030305000063,13,49,10.00,605.40,"6,054.00",2024-03-03
48,HRL,2024030305000066,57,52,10.00,606.00,"6,060.00",2024-03-03
49,HRL,2024030305000067,57,58,20.00,606.00,"12,120.00",2024-03-03
50,HRL,2024030305000068,57,19,40.00,606.00,"24,240.00",2024-03-03
51,HRL,2024030305000069,57,54,20.00,606.00,"12,120.00",2024-03-03
52,HRL,2024030305000074,57,10,10.00,606.00,"6,060.00",2024-03-03
53,HRL,2024030305000075,55,35,10.00,606.00,"6,060.00",2024-03-03
54,HRL,2024030305000076,55,58,10.00,607.00,"6,070.00",2024-03-03
55,HRL,2024030305000084,32,58,10.00,607.00,"6,070.00",2024-03-03
56,HRL,2024030305000086,34,43,20.00,605.20,"12,104.00",2024-03-03
57,HRL,2024030305000089,69,17,10.00,608.00,"6,080.00",2024-03-03
58,HRL,2024030305000094,33,51,10.00,606.10,"6,061.00",2024-03-03
59,HRL,2024030305000095,53,51,10.00,606.00,"6,060.00",2024-03-03
60,HRL,2024030305000096,51,41,10.00,608.00,"6,080.00",2024-03-03
61,HRL,2024030305000097,51,42,10.00,608.00,"6,080.00",2024-03-03
62,HRL,2024030305000112,51,58,10.00,607.00,"6,070.00",2024-03-03
63,HRL,2024030305000113,51,41,10.00,607.80,"6,078.00",2024-03-03
64,HRL,2024030305000115,53,42,15.00,606.00,"9,090.00",2024-03-03
65,HRL,2024030305000121,57,3,60.00,607.70,"36,462.00",2024-03-03
66,HRL,2024030305000122,58,19,10.00,606.10,"6,061.00",2024-03-03
67,HRL,2024030305000123,58,58,10.00,606.10,"6,061.00",2024-03-03
68,HRL,2024030305000125,58,58,10.00,606.50,"6,065.00",2024-03-03
69,HRL,2024030305000126,51,41,10.00,607.00,"6,070.00",2024-03-03
70,HRL,2024030305000127,51,58,10.00,607.00,"6,070.00",2024-03-03
71,HRL,2024030305000128,53,58,10.00,606.40,"6,064.00",2024-03-03
72,HRL,2024030305000129,53,57,10.00,606.40,"6,064.00",2024-03-03
73,HRL,2024030305000130,26,18,"1,700.00",606.30,"1,030,710.00",2024-03-03
74,HRL,2024030305000131,58,18,230.00,606.10,"139,403.00",2024-03-03
75,HRL,2024030305000132,34,18,200.00,606.10,"121,220.00",2024-03-03
76,HRL,2024030305000133,32,18,730.00,606.00,"442,380.00",2024-03-03
77,HRL,2024030305000134,19,18,100.00,606.00,"60,600.00",2024-03-03
78,HRL,2024030305000139,34,36,18.00,605.20,"10,893.60",2024-03-03
79,HRL,2024030305000140,34,18,12.00,605.20,"7,262.40",2024-03-03
80,HRL,2024030305000141,71,18,288.00,605.20,"174,297.60",2024-03-03
81,HRL,2024030305000142,71,28,80.00,605.20,"48,416.00",2024-03-03
82,HRL,2024030305000143,71,3,20.00,605.20,"12,104.00",2024-03-03
83,HRL,2024030305000144,71,34,10.00,605.20,"6,052.00",2024-03-03
84,HRL,2024030305000145,71,32,102.00,605.20,"61,730.40",2024-03-03
85,HRL,2024030305000146,43,65,21.00,605.10,"12,707.10",2024-03-03
86,HRL,2024030305000147,3,65,99.00,605.00,"59,895.00",2024-03-03
87,HRL,2024030305000148,3,22,180.00,605.00,"108,900.00",2024-03-03
88,HRL,2024030305000149,3,74,10.00,605.00,"6,050.00",2024-03-03
89,HRL,2024030305000150,3,49,10.00,605.00,"6,050.00",2024-03-03
90,HRL,2024030305000151,3,28,436.00,605.00,"263,780.00",2024-03-03
91,HRL,2024030305000152,19,28,20.00,605.00,"12,100.00",2024-03-03
92,HRL,2024030305000153,35,28,33.00,605.00,"19,965.00",2024-03-03
93,HRL,2024030305000154,21,28,10.00,605.00,"6,050.00",2024-03-03
94,HRL,2024030305000155,55,28,20.00,605.00,"12,100.00",2024-03-03
95,HRL,2024030305000156,1,28,800.00,605.00,"484,000.00",2024-03-03
96,HRL,2024030305000157,38,28,20.00,605.00,"12,100.00",2024-03-03
97,HRL,2024030305000158,19,28,50.00,605.00,"30,250.00",2024-03-03
98,HRL,2024030305000159,19,28,50.00,605.00,"30,250.00",2024-03-03
99,HRL,2024030305000161,80,33,30.00,604.90,"18,147.00",2024-03-03
100,HRL,2024030305000163,58,28,400.00,605.00,"242,000.00",2024-03-03
101,HRL,2024030305000164,80,32,305.00,604.90,"184,494.50",2024-03-03
102,HRL,2024030305000167,57,32,70.00,604.90,"42,343.00",2024-03-03
103,HRL,2024030305000170,19,20,10.00,604.00,"6,040.00",2024-03-03
104,HRL,2024030305000171,43,20,20.00,604.00,"12,080.00",2024-03-03
105,HRL,2024030305000177,42,34,10.00,603.00,"6,030.00",2024-03-03
106,HRL,2024030305000180,42,17,40.00,603.00,"24,120.00",2024-03-03
107,HRL,2024030305000181,6,17,50.00,603.00,"30,150.00",2024-03-03
108,HRL,2024030305000182,25,17,50.00,603.00,"30,150.00",2024-03-03
109,HRL,2024030305000183,19,17,10.00,603.00,"6,030.00",2024-03-03
110,HRL,2024030305000184,56,17,50.00,603.00,"30,150.00",2024-03-03
111,HRL,2024030305000185,52,17,20.00,602.90,"12,058.00",2024-03-03
112,HRL,2024030305000186,55,17,"1,000.00",602.00,"602,000.00",2024-03-03
113,HRL,2024030305000187,45,17,180.00,602.00,"108,360.00",2024-03-03
114,HRL,2024030305000191,45,17,10.00,602.00,"6,020.00",2024-03-03
115,HRL,2024030305000192,45,94,10.00,602.00,"6,020.00",2024-03-03
116,HRL,2024030305000194,57,45,10.00,602.00,"6,020.00",2024-03-03
117,HRL,2024030305000195,57,36,20.00,602.00,"12,040.00",2024-03-03
118,HRL,2024030305000197,57,6,70.00,602.00,"42,140.00",2024-03-03
119,HRL,2024030305000198,1,6,40.00,602.00,"24,080.00",2024-03-03
120,HRL,2024030305000200,1,58,20.00,602.10,"12,042.00",2024-03-03
121,HRL,2024030305000201,1,25,18.00,602.10,"10,837.80",2024-03-03
122,HRL,2024030305000202,1,58,10.00,602.10,"6,021.00",2024-03-03
123,HRL,2024030305000203,1,58,10.00,602.10,"6,021.00",2024-03-03
124,HRL,2024030305000205,33,58,20.00,602.10,"12,042.00",2024-03-03
125,HRL,2024030305000206,56,57,10.00,602.00,"6,020.00",2024-03-03
126,HRL,2024030305000207,56,76,40.00,602.00,"24,080.00",2024-03-03
127,HRL,2024030305000208,56,76,30.00,601.20,"18,036.00",2024-03-03
128,HRL,2024030305000209,54,76,50.00,601.10,"30,055.00",2024-03-03
129,HRL,2024030305000210,48,76,500.00,601.00,"300,500.00",2024-03-03
130,HRL,2024030305000211,47,76,200.00,601.00,"120,200.00",2024-03-03
131,HRL,2024030305000212,19,76,20.00,601.00,"12,020.00",2024-03-03
132,HRL,2024030305000213,67,76,10.00,600.00,"6,000.00",2024-03-03
133,HRL,2024030305000214,67,76,50.00,600.00,"30,000.00",2024-03-03
134,HRL,2024030305000215,52,76,20.00,600.00,"12,000.00",2024-03-03
135,HRL,2024030305000216,45,76,30.00,600.00,"18,000.00",2024-03-03
136,HRL,2024030305000217,45,76,25.00,600.00,"15,000.00",2024-03-03
137,HRL,2024030305000218,7,76,10.00,600.00,"6,000.00",2024-03-03
138,HRL,2024030305000219,49,76,100.00,600.00,"60,000.00",2024-03-03
139,HRL,2024030305000220,58,76,60.00,600.00,"36,000.00",2024-03-03
140,HRL,2024030305000221,3,76,200.00,600.00,"120,000.00",2024-03-03
141,HRL,2024030305000222,43,76,100.00,600.00,"60,000.00",2024-03-03
142,HRL,2024030305000223,65,76,10.00,600.00,"6,000.00",2024-03-03
143,HRL,2024030305000225,17,14,10.00,599.30,"5,993.00",2024-03-03
144,HRL,2024030305000234,17,76,100.00,600.00,"60,000.00",2024-03-03
145,HRL,2024030305000235,1,6,10.00,599.40,"5,994.00",2024-03-03
146,HRL,2024030305000237,33,76,20.00,600.00,"12,000.00",2024-03-03
147,HRL,2024030305000239,3,67,100.00,599.90,"59,990.00",2024-03-03
148,HRL,2024030305000240,1,58,10.00,599.40,"5,994.00",2024-03-03
149,HRL,2024030305000243,50,49,10.00,600.00,"6,000.00",2024-03-03
150,HRL,2024030305000244,50,51,13.00,600.00,"7,800.00",2024-03-03
151,HRL,2024030305000245,50,51,30.00,600.00,"18,000.00",2024-03-03
152,HRL,2024030305000246,50,44,20.00,600.00,"12,000.00",2024-03-03
153,HRL,2024030305000256,50,48,27.00,600.00,"16,200.00",2024-03-03
154,HRL,2024030305000262,53,29,25.00,600.00,"15,000.00",2024-03-03
155,HRL,2024030305000272,13,58,10.00,601.00,"6,010.00",2024-03-03
156,HRL,2024030305000277,13,65,10.00,600.00,"6,000.00",2024-03-03
157,HRL,2024030305000278,56,65,20.00,599.60,"11,992.00",2024-03-03
158,HRL,2024030305000279,50,65,100.00,599.60,"59,960.00",2024-03-03
159,HRL,2024030305000280,33,65,10.00,599.50,"5,995.00",2024-03-03
160,HRL,2024030305000281,34,65,60.00,599.50,"35,970.00",2024-03-03
161,HRL,2024030305000283,34,34,40.00,599.50,"23,980.00",2024-03-03
162,HRL,2024030305000284,1,34,32.00,599.40,"19,180.80",2024-03-03
