SN,Symbol,Transaction No.,Buyer Broker,Seller Broker,Share Quantity,Rate(Rs),Amount(Rs),Traded Date
1,HRL,2024040705000006,56,16,10.00,590.00,"5,900.00",2024-04-07
2,HRL,2024040705000007,16,44,10.00,590.00,"5,900.00",2024-04-07
3,HRL,2024040705000008,16,56,20.00,590.50,"11,810.00",2024-04-07
4,HRL,2024040705000009,57,58,10.00,588.00,"5,880.00",2024-04-07
5,HRL,2024040705000011,45,56,20.00,590.50,"11,810.00",2024-04-07
6,HRL,2024040705000020,45,42,20.00,590.50,"11,810.00",2024-04-07
7,HRL,2024040705000023,45,34,10.00,590.60,"5,906.00",2024-04-07
8,HRL,2024040705000026,45,17,10.00,590.60,"5,906.00",2024-04-07
9,HRL,2024040705000031,50,42,10.00,591.00,"5,910.00",2024-04-07
10,HRL,2024040705000034,45,49,10.00,595.00,"5,950.00",2024-04-07
11,HRL,2024040705000035,45,14,10.00,595.00,"5,950.00",2024-04-07
12,HRL,2024040705000036,50,48,20.00,591.00,"11,820.00",2024-04-07
13,HRL,2024040705000038,68,41,20.00,592.00,"11,840.00",2024-04-07
14,HRL,2024040705000039,68,48,20.00,592.00,"11,840.00",2024-04-07
15,HRL,2024040705000041,35,43,30.00,595.00,"17,850.00",2024-04-07
16,HRL,2024040705000052,68,57,20.00,592.00,"11,840.00",2024-04-07
17,HRL,2024040705000062,11,14,130.00,593.00,"77,090.00",2024-04-07
18,HRL,2024040705000065,20,51,10.00,594.00,"5,940.00",2024-04-07
19,HRL,2024040705000066,20,34,10.00,594.00,"5,940.00",2024-04-07
20,HRL,2024040705000069,20,40,10.00,594.10,"5,941.00",2024-04-07
21,HRL,2024040705000070,20,48,10.00,594.10,"5,941.00",2024-04-07
22,HRL,2024040705000071,20,35,20.00,594.10,"11,882.00",2024-04-07
23,HRL,2024040705000075,20,62,10.00,594.10,"5,941.00",2024-04-07
24,HRL,2024040705000076,20,43,20.00,594.10,"11,882.00",2024-04-07
25,HRL,2024040705000078,20,58,10.00,594.10,"5,941.00",2024-04-07
